Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Plug,Plug_future,LogId
2021-08-21 11:07:40.450,0.652198,0.002561,0.216821,1197.850879,0.018072,0.08187,0.004608,0,0.0,5
2021-08-21 11:07:40.949,0.65055,0.002615,0.216269,1196.577,0.018405,0.080948,0.004419,0,0.0,5
2021-08-21 11:07:41.453,0.651297,0.0028,0.215,1192.332124,0.018836,0.07952,0.004669,0,0.0,5
2021-08-21 11:07:41.949,0.651998,0.002484,0.215635,1189.644134,0.0182,0.080179,0.00518,0,0.0,5
2021-08-21 11:07:42.453,0.656662,0.002737,0.219138,1189.778269,0.01816,0.082592,0.004637,0,0.0,5
2021-08-21 11:07:42.949,0.654645,0.002664,0.218821,1192.068077,0.017905,0.080856,0.004636,0,0.0,5
2021-08-21 11:07:43.448,0.660672,0.002636,0.216232,1193.874725,0.017646,0.080752,0.004628,0,0.0,5
2021-08-21 11:07:43.952,0.658808,0.002852,0.2185,1195.306943,0.0199,0.080113,0.004526,0,0.0,5
2021-08-21 11:07:44.448,0.658149,0.002759,0.219006,1195.128901,0.018502,0.079836,0.004419,0,0.0,5
2021-08-21 11:07:44.952,0.658245,0.002445,0.218172,1197.028222,0.018881,0.081546,0.004539,0,0.0,5
2021-08-21 11:07:45.448,0.658508,0.002748,0.219117,1197.581361,0.019249,0.083134,0.004777,0,0.0,5
2021-08-21 11:07:45.952,0.658141,0.002602,0.218664,1198.347246,0.017301,0.084403,0.004859,0,0.0,5
2021-08-21 11:07:46.453,0.657231,0.002513,0.218106,1198.787537,0.017548,0.080077,0.004725,0,0.0,5
2021-08-21 11:07:46.949,0.658276,0.00259,0.21908,1199.368426,0.019371,0.083096,0.004895,0,0.0,5
2021-08-21 11:07:47.448,0.656369,0.002689,0.218497,1198.929679,0.018024,0.079244,0.004777,0,0.0,5
