Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future,LogId
1900-01-01 11:05:25.279,0.638409,0.981819,1.100481,2002.167506,0,0,7
1900-01-01 11:05:26.279,0.639438,0.983993,1.10231,2000.616334,0,0,7
1900-01-01 11:05:27.279,0.641821,0.987001,1.105452,2000.390024,0,0,7
1900-01-01 11:05:28.279,0.641307,0.986917,1.106306,2001.936481,0,0,7
1900-01-01 11:05:29.279,0.640892,0.984943,1.103081,2001.144393,0,0,7
1900-01-01 11:05:30.279,0.641827,0.986545,1.105084,2000.078846,0,0,7
1900-01-01 11:05:31.279,0.640824,0.985904,1.104414,2001.064241,0,0,7
1900-01-01 11:05:32.279,0.641827,0.987096,1.105204,2001.144393,0,0,7
1900-01-01 11:05:33.279,0.641254,0.986807,1.104597,2002.931305,0,0,7
1900-01-01 11:05:34.279,0.641548,0.985725,1.10479,2003.350923,0,0,7
1900-01-01 11:05:35.279,0.639999,0.983993,1.102108,2001.58287,0,0,7
1900-01-01 11:05:36.279,0.640157,0.984581,1.102503,2000.460746,0,0,7
1900-01-01 11:05:37.279,0.640945,0.984612,1.10208,2001.818611,0,0,7
1900-01-01 11:05:38.279,0.639217,0.983011,1.101134,1999.800673,0,0,7
1900-01-01 11:05:39.279,0.641055,0.985867,1.104037,2000.041128,0,0,7
1900-01-01 11:05:40.279,0.640099,0.984103,1.102411,2000.800212,0,0,7
1900-01-01 11:05:41.279,0.640209,0.98415,1.102374,2000.630479,0,0,7
1900-01-01 11:05:42.279,0.641065,0.985316,1.104212,2000.955801,0,0,7
1900-01-01 11:05:43.279,0.641727,0.986356,1.105176,2001.912907,0,0,7
1900-01-01 11:05:44.279,0.641632,0.986398,1.104708,2002.846439,0,0,7
1900-01-01 11:05:45.279,0.639359,0.983184,1.101391,2002.511687,0,0,7
1900-01-01 11:05:46.279,0.63949,0.983342,1.101979,1999.480066,0,0,7
1900-01-01 11:05:47.279,0.640152,0.983862,1.103137,1999.87611,0,0,7
1900-01-01 11:05:48.279,0.639033,0.982113,1.099701,1999.725236,0,0,7
1900-01-01 11:05:49.279,0.640383,0.984807,1.102705,1998.155204,0,0,7
1900-01-01 11:05:50.279,0.6399,0.984434,1.102815,2000.762493,0,0,7
1900-01-01 11:05:51.279,0.641139,0.986009,1.103173,2001.634733,0,0,7
1900-01-01 11:05:52.279,0.639889,0.98487,1.104267,2001.483859,0,0,7
1900-01-01 11:05:53.279,0.6398,0.984245,1.103247,2001.351845,0,0,7
1900-01-01 11:05:54.279,0.640509,0.984376,1.103532,2001.483859,0,0,7
1900-01-01 11:05:55.279,0.641701,0.985825,1.104184,2000.578616,0,0,7
1900-01-01 11:05:56.279,0.639249,0.984166,1.102677,2000.819071,0,0,7
1900-01-01 11:05:57.279,0.640745,0.985237,1.103467,2000.597475,0,0,7
1900-01-01 11:05:58.279,0.643764,0.987269,1.104956,1999.701662,0,0,7
1900-01-01 11:05:59.279,0.642341,0.984077,1.102613,1996.198559,0,0,7
1900-01-01 11:06:00.279,0.644851,0.988057,1.106352,1994.713394,0,0,7
1900-01-01 11:06:01.279,0.643234,0.985158,1.103899,1997.853457,0,0,7
1900-01-01 11:06:02.279,0.644672,0.988487,1.10615,1997.792164,0,0,7
1900-01-01 11:06:03.279,0.642115,0.986986,1.105645,2000.017554,0,0,7
1900-01-01 11:06:04.279,0.64116,0.985473,1.103228,2002.261803,0,0,7
1900-01-01 11:06:05.279,0.641286,0.986791,1.104864,2002.412676,0,0,7
1900-01-01 11:06:06.279,0.640309,0.984045,1.10253,2003.629097,0,0,7
1900-01-01 11:06:07.279,0.642016,0.98813,1.106628,2002.233514,0,0,7
1900-01-01 11:06:08.279,0.639254,0.984728,1.103192,2003.445219,0,0,7
1900-01-01 11:06:09.279,0.638907,0.983505,1.101621,2001.766748,0,0,7
1900-01-01 11:06:10.279,0.640146,0.983678,1.10186,2000.597475,0,0,7
1900-01-01 11:06:11.279,0.639159,0.982638,1.101106,2000.423027,0,0,7
1900-01-01 11:06:12.279,0.640588,0.985557,1.104257,2001.356559,0,0,7
1900-01-01 11:06:13.279,0.640441,0.983967,1.101667,2002.525832,0,0,7
1900-01-01 11:06:14.279,0.640336,0.984906,1.103467,2000.852075,0,0,7
