Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Plug,Plug_future,LogId
2021-12-07 11:06:58.754,0.408236,0.600114,0.666129,1505.48971,0.11974,0.024942,0.024465,0,0,17
2021-12-07 11:06:59.754,0.406369,0.595651,0.661183,1503.114476,0.120668,0.024535,0.023656,0,0,17
2021-12-07 11:07:00.753,0.407193,0.597672,0.663029,1498.710845,0.113949,0.023896,0.02192,0,0,17
2021-12-07 11:07:01.754,0.406647,0.596234,0.661431,1498.58826,0.117137,0.026036,0.026367,0,0,17
2021-12-07 11:07:02.751,0.406607,0.597212,0.662888,1497.234949,0.114184,0.02347,0.023974,0,0,17
2021-12-07 11:07:03.754,0.406692,0.596701,0.659982,1499.200165,0.113975,0.02317,0.024526,0,0,17
2021-12-07 11:07:04.753,0.405765,0.594669,0.659924,1496.202567,0.115827,0.023634,0.0239,0,0,17
2021-12-07 11:07:05.754,0.406589,0.596617,0.662267,1495.632075,0.116209,0.025193,0.025471,0,0,17
2021-12-07 11:07:06.754,0.405371,0.595604,0.661532,1496.749485,0.117774,0.026902,0.027169,0,0,17
2021-12-07 11:07:07.753,0.407272,0.597772,0.662717,1496.273289,0.119404,0.025333,0.024365,0,0,17
2021-12-07 11:07:08.753,0.406458,0.597315,0.661366,1498.376094,0.118697,0.026413,0.025912,0,0,17
2021-12-07 11:07:09.748,0.405571,0.595124,0.659758,1497.991422,0.115908,0.028157,0.02815,0,0,17
2021-12-07 11:07:10.751,0.405592,0.596235,0.662071,1496.252822,0.116915,0.026322,0.026515,0,0,17
2021-12-07 11:07:11.749,0.406333,0.597965,0.662547,1497.627456,0.118809,0.026992,0.027745,0,0,17
2021-12-07 11:07:12.752,0.406728,0.596848,0.661567,1498.988633,0.114678,0.026405,0.026486,0,0,17
2021-12-07 11:07:13.751,0.407114,0.59752,0.662386,1496.98994,0.11336,0.024718,0.024703,0,0,17
2021-12-07 11:07:14.752,0.405208,0.595546,0.660374,1496.99937,0.117861,0.025744,0.026884,0,0,17
2021-12-07 11:07:15.752,0.406395,0.59625,0.661752,1497.574576,0.116335,0.024628,0.024505,0,0,17
2021-12-07 11:07:16.752,0.405744,0.595782,0.660337,1497.998909,0.114413,0.02772,0.027561,0,0,17
2021-12-07 11:07:17.751,0.406621,0.597331,0.661973,1497.159673,0.117116,0.023507,0.024552,0,0,17
2021-12-07 11:07:18.752,0.40409,0.594953,0.659547,1498.654267,0.11534,0.02856,0.02968,0,0,17
2021-12-07 11:07:19.752,0.403822,0.593336,0.658721,1498.526968,0.115331,0.026937,0.025912,0,0,17
2021-12-07 11:07:20.752,0.405213,0.595478,0.659915,1498.404383,0.116921,0.025957,0.026015,0,0,17
2021-12-07 11:07:21.751,0.404111,0.593955,0.658261,1498.508108,0.115148,0.024258,0.024346,0,0,17
2021-12-07 11:07:22.752,0.405707,0.595604,0.661964,1496.075267,0.117111,0.026109,0.024945,0,0,17
2021-12-07 11:07:23.752,0.404898,0.595772,0.660622,1498.046057,0.113348,0.024053,0.024321,0,0,17
2021-12-07 11:07:24.748,0.40459,0.595174,0.660704,1499.788607,0.115597,0.024125,0.025229,0,0,17
2021-12-07 11:07:25.751,0.403425,0.594345,0.660587,1499.853563,0.116911,0.026693,0.027074,0,0,17
2021-12-07 11:07:26.752,0.404804,0.596628,0.662092,1499.559511,0.11401,0.023229,0.023796,0,0,17
2021-12-07 11:07:27.747,0.405428,0.596116,0.661309,1499.370326,0.113003,0.026574,0.025302,0,0,17
2021-12-07 11:07:28.751,0.40515,0.595849,0.661005,1499.384537,0.115369,0.025567,0.025416,0,0,17
2021-12-07 11:07:29.751,0.403747,0.594498,0.659059,1499.287196,0.112213,0.027761,0.027347,0,0,17
2021-12-07 11:07:30.752,0.405528,0.596313,0.660622,1497.956476,0.114664,0.023031,0.022645,0,0,17
2021-12-07 11:07:31.749,0.404427,0.594742,0.65863,1498.724583,0.114942,0.025044,0.025515,0,0,17
2021-12-07 11:07:32.752,0.406603,0.597633,0.663033,1499.477507,0.114462,0.023295,0.022836,0,0,17
2021-12-07 11:07:33.751,0.405334,0.596365,0.661109,1500.719353,0.11507,0.02579,0.025352,0,0,17
2021-12-07 11:07:34.746,0.405143,0.596211,0.661162,1499.654636,0.119215,0.02405,0.024557,0,0,17
2021-12-07 11:07:35.751,0.405192,0.596382,0.661463,1499.656906,0.113502,0.024305,0.025897,0,0,17
2021-12-07 11:07:36.751,0.405481,0.596265,0.661118,1498.937156,0.11462,0.024462,0.024345,0,0,17
2021-12-07 11:07:37.746,0.40551,0.595853,0.660338,1499.314587,0.115123,0.024638,0.025191,0,0,17
2021-12-07 11:07:38.751,0.405824,0.596377,0.660548,1499.295312,0.114505,0.025273,0.024979,0,0,17
