Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future,LogId
1900-01-01 13:56:49.628,0.251241,0.261635,0.46339,3.786573,0,0.0,11
1900-01-01 13:56:50.628,0.251745,0.26288,0.463335,3.720566,0,0.0,11
1900-01-01 13:56:51.628,0.251136,0.261336,0.462848,3.687562,0,0.0,11
1900-01-01 13:56:52.628,0.252407,0.262402,0.463518,3.711136,0,0.0,11
1900-01-01 13:56:53.628,0.252134,0.262449,0.463188,3.692277,0,0.0,11
1900-01-01 13:56:54.628,0.251588,0.261714,0.463234,3.593266,0,0.0,11
1900-01-01 13:56:55.628,0.251561,0.261462,0.463812,3.668703,0,0.0,11
1900-01-01 13:56:56.628,0.250438,0.260559,0.462131,3.366955,0,0.0,11
1900-01-01 13:56:57.628,0.250921,0.261504,0.462232,3.461252,0,0.0,11
1900-01-01 13:56:58.628,0.251078,0.261777,0.462958,3.659273,0,0.0,11
1900-01-01 13:56:59.628,0.250832,0.2609,0.462857,3.635699,0,0.0,11
1900-01-01 13:57:00.628,0.25164,0.261436,0.462673,3.73471,0,0.0,11
1900-01-01 13:57:01.628,0.251399,0.261089,0.462655,3.829007,0,0.0,11
1900-01-01 13:57:02.628,0.250674,0.261142,0.462618,3.767714,0,0.0,11
1900-01-01 13:57:03.628,0.251141,0.261378,0.463151,3.786573,0,0.0,11
1900-01-01 13:57:04.628,0.251603,0.261347,0.463491,3.385815,0,0.0,11
1900-01-01 13:57:05.628,0.251493,0.261578,0.462765,3.918588,0,0.0,11
1900-01-01 13:57:06.628,0.251414,0.261625,0.463436,3.932732,0,0.0,11
1900-01-01 13:57:07.628,0.251756,0.261798,0.461966,3.635699,0,0.0,11
1900-01-01 13:57:08.628,0.251309,0.2609,0.463151,3.432963,0,0.0,11
1900-01-01 13:57:09.628,0.251372,0.261509,0.463133,3.654559,0,0.0,11
1900-01-01 13:57:10.628,0.251026,0.261966,0.46305,3.814862,0,0.0,11
1900-01-01 13:57:11.628,0.251157,0.26163,0.46293,3.305663,0,0.0,11
1900-01-01 13:57:12.628,0.250669,0.259682,0.460533,3.942162,0,0.0,11
1900-01-01 13:57:13.628,0.250706,0.26017,0.460634,3.5084,0,0.0,11
1900-01-01 13:57:14.628,0.25174,0.261263,0.46305,3.857295,0,0.0,11
1900-01-01 13:57:15.628,0.250454,0.260102,0.46158,3.550833,0,0.0,11
1900-01-01 13:57:16.628,0.250023,0.260034,0.461295,3.73471,0,0.0,11
1900-01-01 13:57:17.628,0.250884,0.260276,0.461984,3.87144,0,0.0,11
1900-01-01 13:57:18.628,0.250569,0.260606,0.460698,3.899729,0,0.0,11
1900-01-01 13:57:19.628,0.251131,0.260023,0.461424,4.097751,0,0.0,11
