Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,Plug_future,LogId
1900-01-01 15:37:26.717,0.067945,0.068929,0.166779,0,0,4
1900-01-01 15:37:27.717,0.067961,0.068515,0.165364,0,0,4
1900-01-01 15:37:28.717,0.067751,0.067669,0.163627,0,0,4
1900-01-01 15:37:29.717,0.067819,0.067853,0.162571,0,0,4
1900-01-01 15:37:30.717,0.068281,0.068693,0.161156,0,0,4
1900-01-01 15:37:31.717,0.067121,0.067176,0.159557,0,0,4
1900-01-01 15:37:32.717,0.068239,0.068935,0.158492,0,0,4
1900-01-01 15:37:33.717,0.067888,0.069187,0.157022,0,0,4
1900-01-01 15:37:34.717,0.067777,0.068247,0.156149,0,0,4
1900-01-01 15:37:35.717,0.068129,0.068824,0.154844,0,0,4
1900-01-01 15:37:36.717,0.067851,0.068483,0.154266,0,0,4
1900-01-01 15:37:37.717,0.067678,0.067669,0.15331,0,0,4
1900-01-01 15:37:38.717,0.068224,0.067948,0.152364,0,0,4
1900-01-01 15:37:39.717,0.06814,0.068462,0.150885,0,0,4
1900-01-01 15:37:40.717,0.067074,0.06747,0.149984,0,0,4
1900-01-01 15:37:41.717,0.067982,0.068158,0.14913,0,0,4
1900-01-01 15:37:42.717,0.067956,0.06737,0.14789,0,0,4
1900-01-01 15:37:43.717,0.067541,0.067485,0.147292,0,0,4
1900-01-01 15:37:44.717,0.068276,0.068263,0.146429,0,0,4
1900-01-01 15:37:45.717,0.068428,0.06853,0.145878,0,0,4
1900-01-01 15:37:46.717,0.067105,0.067097,0.145262,0,0,4
1900-01-01 15:37:47.717,0.067011,0.067107,0.144242,0,0,4
1900-01-01 15:37:48.717,0.067636,0.0679,0.143075,0,0,4
1900-01-01 15:37:49.717,0.066937,0.067349,0.142984,0,0,4
1900-01-01 15:37:50.717,0.068486,0.068851,0.141844,0,0,4
1900-01-01 15:37:51.717,0.066832,0.067522,0.141514,0,0,4
1900-01-01 15:37:52.717,0.067357,0.067622,0.140806,0,0,4
1900-01-01 15:37:53.717,0.06721,0.067396,0.140632,0,0,4
1900-01-01 15:37:54.717,0.067326,0.068352,0.139869,0,0,4
1900-01-01 15:37:55.717,0.0673,0.06769,0.139244,0,0,4
1900-01-01 15:37:56.717,0.067746,0.068394,0.139171,0,0,4
1900-01-01 15:37:57.717,0.067903,0.068299,0.138087,0,0,4
1900-01-01 15:37:58.717,0.067095,0.067302,0.137728,0,0,4
1900-01-01 15:37:59.717,0.067326,0.067937,0.136635,0,0,4
1900-01-01 15:38:00.717,0.06762,0.067664,0.137049,0,0,4
1900-01-01 15:38:01.717,0.067525,0.067622,0.136093,0,0,4
1900-01-01 15:38:02.717,0.067357,0.066913,0.135726,0,0,4
1900-01-01 15:38:03.717,0.067305,0.067937,0.135882,0,0,4
1900-01-01 15:38:04.717,0.066743,0.066924,0.135018,0,0,4
1900-01-01 15:38:05.717,0.067415,0.067464,0.134485,0,0,4
1900-01-01 15:38:06.717,0.067042,0.067118,0.134384,0,0,4
1900-01-01 15:38:07.717,0.067536,0.067275,0.134687,0,0,4
1900-01-01 15:38:08.717,0.067672,0.067811,0.134017,0,0,4
1900-01-01 15:38:09.717,0.067814,0.06811,0.133943,0,0,4
1900-01-01 15:38:10.717,0.066801,0.067743,0.133456,0,0,4
1900-01-01 15:38:11.717,0.067105,0.067307,0.133144,0,0,4
1900-01-01 15:38:12.717,0.06826,0.067759,0.132574,0,0,4
1900-01-01 15:38:13.717,0.066717,0.067422,0.132354,0,0,4
1900-01-01 15:38:14.717,0.068192,0.068247,0.132032,0,0,4
1900-01-01 15:38:15.717,0.06793,0.068116,0.131518,0,0,4
1900-01-01 15:38:16.717,0.067688,0.067307,0.132078,0,0,4
1900-01-01 15:38:17.717,0.067793,0.067223,0.131518,0,0,4
1900-01-01 15:38:18.717,0.068203,0.068137,0.131233,0,0,4
1900-01-01 15:38:19.717,0.068082,0.067202,0.13093,0,0,4
1900-01-01 15:38:20.717,0.067972,0.067144,0.130746,0,0,4
1900-01-01 15:38:21.717,0.067363,0.067223,0.130526,0,0,4
1900-01-01 15:38:22.717,0.067636,0.068147,0.130314,0,0,4
1900-01-01 15:38:23.717,0.067347,0.068436,0.129515,0,0,4
1900-01-01 15:38:24.717,0.067599,0.067727,0.129396,0,0,4
1900-01-01 15:38:25.717,0.068381,0.067774,0.12923,0,0,4
1900-01-01 15:38:26.717,0.067919,0.067974,0.129203,0,0,4
1900-01-01 15:38:27.717,0.068533,0.068683,0.12889,0,0,4
1900-01-01 15:38:28.717,0.068717,0.067633,0.129175,0,0,4
1900-01-01 15:38:29.717,0.067069,0.067197,0.128817,0,0,4
1900-01-01 15:38:30.717,0.068187,0.068252,0.12889,0,0,4
1900-01-01 15:38:31.717,0.06741,0.067359,0.128403,0,0,4
1900-01-01 15:38:32.717,0.068497,0.067869,0.128348,0,0,4
1900-01-01 15:38:33.717,0.067552,0.067433,0.128137,0,0,4
1900-01-01 15:38:34.717,0.067263,0.067092,0.127815,0,0,4
1900-01-01 15:38:35.717,0.068066,0.068068,0.127843,0,0,4
1900-01-01 15:38:36.717,0.067489,0.067548,0.127338,0,0,4
1900-01-01 15:38:37.717,0.067825,0.067711,0.126869,0,0,4
1900-01-01 15:38:38.717,0.067909,0.067449,0.127218,0,0,4
1900-01-01 15:38:39.717,0.068355,0.068877,0.126943,0,0,4
1900-01-01 15:38:40.717,0.068187,0.068011,0.126915,0,0,4
1900-01-01 15:38:41.717,0.068444,0.068394,0.126842,0,0,4
1900-01-01 15:38:42.717,0.068996,0.068835,0.126952,0,0,4
1900-01-01 15:38:43.717,0.068696,0.068672,0.12675,0,0,4
1900-01-01 15:38:44.717,0.068801,0.06841,0.126924,0,0,4
1900-01-01 15:38:45.717,0.069032,0.06863,0.126345,0,0,4
1900-01-01 15:38:46.717,0.068386,0.068042,0.12674,0,0,4
1900-01-01 15:38:47.717,0.069368,0.06874,0.126079,0,0,4
1900-01-01 15:38:48.717,0.069568,0.069853,0.126639,0,0,4
1900-01-01 15:38:49.717,0.069809,0.070252,0.126327,0,0,4
1900-01-01 15:38:50.717,0.069788,0.069948,0.126474,0,0,4
1900-01-01 15:38:51.717,0.070109,0.0702,0.126713,0,0,4
1900-01-01 15:38:52.717,0.070539,0.070279,0.126263,0,0,4
1900-01-01 15:38:53.717,0.070917,0.070725,0.126593,0,0,4
1900-01-01 15:38:54.717,0.071342,0.07156,0.126731,0,0,4
1900-01-01 15:38:55.717,0.072151,0.072027,0.126382,0,0,4
