Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,Plug_future,LogId
1900-01-01 11:05:25.279,0.638409,0.981819,1.100481,0,0,7
1900-01-01 11:05:26.279,0.639438,0.983993,1.10231,0,0,7
1900-01-01 11:05:27.279,0.641821,0.987001,1.105452,0,0,7
1900-01-01 11:05:28.279,0.641307,0.986917,1.106306,0,0,7
1900-01-01 11:05:29.279,0.640892,0.984943,1.103081,0,0,7
1900-01-01 11:05:30.279,0.641827,0.986545,1.105084,0,0,7
1900-01-01 11:05:31.279,0.640824,0.985904,1.104414,0,0,7
1900-01-01 11:05:32.279,0.641827,0.987096,1.105204,0,0,7
1900-01-01 11:05:33.279,0.641254,0.986807,1.104597,0,0,7
1900-01-01 11:05:34.279,0.641548,0.985725,1.10479,0,0,7
1900-01-01 11:05:35.279,0.639999,0.983993,1.102108,0,0,7
1900-01-01 11:05:36.279,0.640157,0.984581,1.102503,0,0,7
1900-01-01 11:05:37.279,0.640945,0.984612,1.10208,0,0,7
1900-01-01 11:05:38.279,0.639217,0.983011,1.101134,0,0,7
1900-01-01 11:05:39.279,0.641055,0.985867,1.104037,0,0,7
1900-01-01 11:05:40.279,0.640099,0.984103,1.102411,0,0,7
1900-01-01 11:05:41.279,0.640209,0.98415,1.102374,0,0,7
1900-01-01 11:05:42.279,0.641065,0.985316,1.104212,0,0,7
1900-01-01 11:05:43.279,0.641727,0.986356,1.105176,0,0,7
1900-01-01 11:05:44.279,0.641632,0.986398,1.104708,0,0,7
1900-01-01 11:05:45.279,0.639359,0.983184,1.101391,0,0,7
1900-01-01 11:05:46.279,0.63949,0.983342,1.101979,0,0,7
1900-01-01 11:05:47.279,0.640152,0.983862,1.103137,0,0,7
1900-01-01 11:05:48.279,0.639033,0.982113,1.099701,0,0,7
1900-01-01 11:05:49.279,0.640383,0.984807,1.102705,0,0,7
1900-01-01 11:05:50.279,0.6399,0.984434,1.102815,0,0,7
1900-01-01 11:05:51.279,0.641139,0.986009,1.103173,0,0,7
1900-01-01 11:05:52.279,0.639889,0.98487,1.104267,0,0,7
1900-01-01 11:05:53.279,0.6398,0.984245,1.103247,0,0,7
1900-01-01 11:05:54.279,0.640509,0.984376,1.103532,0,0,7
1900-01-01 11:05:55.279,0.641701,0.985825,1.104184,0,0,7
1900-01-01 11:05:56.279,0.639249,0.984166,1.102677,0,0,7
1900-01-01 11:05:57.279,0.640745,0.985237,1.103467,0,0,7
1900-01-01 11:05:58.279,0.643764,0.987269,1.104956,0,0,7
1900-01-01 11:05:59.279,0.642341,0.984077,1.102613,0,0,7
1900-01-01 11:06:00.279,0.644851,0.988057,1.106352,0,0,7
1900-01-01 11:06:01.279,0.643234,0.985158,1.103899,0,0,7
1900-01-01 11:06:02.279,0.644672,0.988487,1.10615,0,0,7
1900-01-01 11:06:03.279,0.642115,0.986986,1.105645,0,0,7
