Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Plug,Plug_future,LogId
2021-12-07 11:06:58.754,0.408236,0.600114,0.666129,0.11974,0.024942,0.024465,0,0,17
2021-12-07 11:06:59.754,0.406369,0.595651,0.661183,0.120668,0.024535,0.023656,0,0,17
2021-12-07 11:07:00.753,0.407193,0.597672,0.663029,0.113949,0.023896,0.02192,0,0,17
2021-12-07 11:07:01.754,0.406647,0.596234,0.661431,0.117137,0.026036,0.026367,0,0,17
2021-12-07 11:07:02.751,0.406607,0.597212,0.662888,0.114184,0.02347,0.023974,0,0,17
2021-12-07 11:07:03.754,0.406692,0.596701,0.659982,0.113975,0.02317,0.024526,0,0,17
2021-12-07 11:07:04.753,0.405765,0.594669,0.659924,0.115827,0.023634,0.0239,0,0,17
2021-12-07 11:07:05.754,0.406589,0.596617,0.662267,0.116209,0.025193,0.025471,0,0,17
2021-12-07 11:07:06.754,0.405371,0.595604,0.661532,0.117774,0.026902,0.027169,0,0,17
2021-12-07 11:07:07.753,0.407272,0.597772,0.662717,0.119404,0.025333,0.024365,0,0,17
2021-12-07 11:07:08.753,0.406458,0.597315,0.661366,0.118697,0.026413,0.025912,0,0,17
2021-12-07 11:07:09.748,0.405571,0.595124,0.659758,0.115908,0.028157,0.02815,0,0,17
2021-12-07 11:07:10.751,0.405592,0.596235,0.662071,0.116915,0.026322,0.026515,0,0,17
2021-12-07 11:07:11.749,0.406333,0.597965,0.662547,0.118809,0.026992,0.027745,0,0,17
2021-12-07 11:07:12.752,0.406728,0.596848,0.661567,0.114678,0.026405,0.026486,0,0,17
2021-12-07 11:07:13.751,0.407114,0.59752,0.662386,0.11336,0.024718,0.024703,0,0,17
2021-12-07 11:07:14.752,0.405208,0.595546,0.660374,0.117861,0.025744,0.026884,0,0,17
2021-12-07 11:07:15.752,0.406395,0.59625,0.661752,0.116335,0.024628,0.024505,0,0,17
2021-12-07 11:07:16.752,0.405744,0.595782,0.660337,0.114413,0.02772,0.027561,0,0,17
2021-12-07 11:07:17.751,0.406621,0.597331,0.661973,0.117116,0.023507,0.024552,0,0,17
2021-12-07 11:07:18.752,0.40409,0.594953,0.659547,0.11534,0.02856,0.02968,0,0,17
2021-12-07 11:07:19.752,0.403822,0.593336,0.658721,0.115331,0.026937,0.025912,0,0,17
2021-12-07 11:07:20.752,0.405213,0.595478,0.659915,0.116921,0.025957,0.026015,0,0,17
2021-12-07 11:07:21.751,0.404111,0.593955,0.658261,0.115148,0.024258,0.024346,0,0,17
2021-12-07 11:07:22.752,0.405707,0.595604,0.661964,0.117111,0.026109,0.024945,0,0,17
2021-12-07 11:07:23.752,0.404898,0.595772,0.660622,0.113348,0.024053,0.024321,0,0,17
2021-12-07 11:07:24.748,0.40459,0.595174,0.660704,0.115597,0.024125,0.025229,0,0,17
2021-12-07 11:07:25.751,0.403425,0.594345,0.660587,0.116911,0.026693,0.027074,0,0,17
2021-12-07 11:07:26.752,0.404804,0.596628,0.662092,0.11401,0.023229,0.023796,0,0,17
2021-12-07 11:07:27.747,0.405428,0.596116,0.661309,0.113003,0.026574,0.025302,0,0,17
2021-12-07 11:07:28.751,0.40515,0.595849,0.661005,0.115369,0.025567,0.025416,0,0,17
2021-12-07 11:07:29.751,0.403747,0.594498,0.659059,0.112213,0.027761,0.027347,0,0,17
2021-12-07 11:07:30.752,0.405528,0.596313,0.660622,0.114664,0.023031,0.022645,0,0,17
2021-12-07 11:07:31.749,0.404427,0.594742,0.65863,0.114942,0.025044,0.025515,0,0,17
2021-12-07 11:07:32.752,0.406603,0.597633,0.663033,0.114462,0.023295,0.022836,0,0,17
2021-12-07 11:07:33.751,0.405334,0.596365,0.661109,0.11507,0.02579,0.025352,0,0,17
2021-12-07 11:07:34.746,0.405143,0.596211,0.661162,0.119215,0.02405,0.024557,0,0,17
2021-12-07 11:07:35.751,0.405192,0.596382,0.661463,0.113502,0.024305,0.025897,0,0,17
2021-12-07 11:07:36.751,0.405481,0.596265,0.661118,0.11462,0.024462,0.024345,0,0,17
2021-12-07 11:07:37.746,0.40551,0.595853,0.660338,0.115123,0.024638,0.025191,0,0,17
2021-12-07 11:07:38.751,0.405824,0.596377,0.660548,0.114505,0.025273,0.024979,0,0,17
2021-12-07 11:07:39.747,0.404729,0.595057,0.660181,0.11551,0.028753,0.02773,0,0,17
2021-12-07 11:07:40.751,0.405249,0.596335,0.662387,0.114581,0.024796,0.025082,0,0,17
2021-12-07 11:07:41.750,0.405082,0.595536,0.661109,0.114573,0.025375,0.026056,0,0,17
2021-12-07 11:07:42.751,0.405707,0.596612,0.662294,0.112773,0.024485,0.024565,0,0,17
2021-12-07 11:07:43.751,0.405618,0.596297,0.661403,0.115102,0.027125,0.027813,0,0,17
2021-12-07 11:07:44.751,0.404956,0.595273,0.661137,0.113188,0.025306,0.025064,0,0,17
2021-12-07 11:07:45.750,0.405355,0.596706,0.661578,0.115712,0.026829,0.026915,0,0,17
2021-12-07 11:07:46.751,0.40546,0.596874,0.661615,0.112334,0.025999,0.025968,0,0,17
2021-12-07 11:07:47.751,0.405696,0.596481,0.660705,0.113702,0.026177,0.025356,0,0,17
2021-12-07 11:07:48.751,0.404772,0.595546,0.658996,0.112095,0.024527,0.026503,0,0,17
2021-12-07 11:07:49.750,0.403633,0.593887,0.65963,0.11519,0.025053,0.025427,0,0,17
2021-12-07 11:07:50.751,0.405339,0.595777,0.661174,0.111539,0.026281,0.026354,0,0,17
2021-12-07 11:07:51.751,0.405429,0.597105,0.662175,0.112736,0.025165,0.024847,0,0,17
2021-12-07 11:07:52.747,0.406648,0.597808,0.662865,0.112043,0.027124,0.026937,0,0,17
2021-12-07 11:07:53.746,0.405653,0.596396,0.661673,0.110372,0.024508,0.025196,0,0,17
2021-12-07 11:07:54.749,0.405189,0.596816,0.661732,0.111909,0.028291,0.028064,0,0,17
2021-12-07 11:07:55.751,0.405548,0.59656,0.662588,0.110367,0.025531,0.024705,0,0,17
2021-12-07 11:07:56.751,0.406038,0.597846,0.663066,0.113062,0.023072,0.024342,0,0,17
2021-12-07 11:07:57.750,0.405991,0.596654,0.662432,0.113205,0.024612,0.023932,0,0,17
2021-12-07 11:07:58.751,0.407172,0.59867,0.663893,0.115415,0.026051,0.025581,0,0,17
2021-12-07 11:07:59.748,0.405067,0.595959,0.660747,0.114707,0.026019,0.02663,0,0,17
2021-12-07 11:08:00.749,0.406379,0.597636,0.662451,0.112165,0.027398,0.027082,0,0,17
2021-12-07 11:08:01.750,0.405197,0.59591,0.661167,0.112659,0.023894,0.023288,0,0,17
2021-12-07 11:08:02.745,0.405027,0.596205,0.66142,0.111878,0.023077,0.023601,0,0,17
2021-12-07 11:08:03.748,0.405739,0.596785,0.660834,0.113199,0.025953,0.026941,0,0,17
2021-12-07 11:08:04.749,0.404946,0.595315,0.661045,0.109013,0.025384,0.024408,0,0,17
2021-12-07 11:08:05.745,0.403826,0.594995,0.660685,0.109509,0.025948,0.025724,0,0,17
2021-12-07 11:08:06.748,0.405001,0.595665,0.661329,0.110667,0.023228,0.023655,0,0,17
2021-12-07 11:08:07.749,0.406101,0.595284,0.659998,0.112753,0.026859,0.026186,0,0,17
2021-12-07 11:08:08.749,0.405975,0.597315,0.662083,0.109479,0.023097,0.022716,0,0,17
2021-12-07 11:08:09.749,0.405696,0.596197,0.661743,0.111016,0.023582,0.02322,0,0,17
2021-12-07 11:08:10.748,0.406185,0.596806,0.662285,0.11219,0.024726,0.024189,0,0,17
2021-12-07 11:08:11.749,0.403969,0.595415,0.660457,0.110949,0.025029,0.024227,0,0,17
2021-12-07 11:08:12.749,0.405954,0.597441,0.662304,0.110976,0.026195,0.026542,0,0,17
2021-12-07 11:08:13.749,0.404961,0.595394,0.661504,0.10766,0.029107,0.029157,0,0,17
2021-12-07 11:08:14.748,0.405271,0.596323,0.661008,0.107663,0.024471,0.024822,0,0,17
2021-12-07 11:08:15.746,0.406818,0.598587,0.66321,0.109836,0.026409,0.025855,0,0,17
2021-12-07 11:08:16.749,0.404121,0.594822,0.660221,0.110062,0.024621,0.025827,0,0,17
2021-12-07 11:08:17.749,0.404888,0.594323,0.659263,0.111908,0.025051,0.024952,0,0,17
2021-12-07 11:08:18.748,0.404856,0.595929,0.66065,0.10615,0.025496,0.025442,0,0,17
2021-12-07 11:08:19.749,0.40451,0.594286,0.660236,0.112468,0.02478,0.024295,0,0,17
2021-12-07 11:08:20.749,0.405691,0.596727,0.662708,0.109759,0.026068,0.027293,0,0,17
2021-12-07 11:08:21.744,0.404542,0.595572,0.66167,0.108921,0.027318,0.026662,0,0,17
2021-12-07 11:08:22.747,0.404095,0.595172,0.659882,0.112711,0.028784,0.029164,0,0,17
2021-12-07 11:08:23.747,0.405192,0.595725,0.660622,0.11062,0.023067,0.025138,0,0,17
2021-12-07 11:08:24.749,0.405711,0.596968,0.662093,0.10883,0.023473,0.02343,0,0,17
2021-12-07 11:08:25.749,0.405198,0.596428,0.661385,0.110113,0.026662,0.027292,0,0,17
2021-12-07 11:08:26.748,0.406248,0.597688,0.663562,0.105249,0.023164,0.024088,0,0,17
2021-12-07 11:08:27.749,0.403806,0.594601,0.660723,0.109528,0.023596,0.024314,0,0,17
2021-12-07 11:08:28.749,0.404652,0.596523,0.66201,0.110054,0.023303,0.023557,0,0,17
2021-12-07 11:08:29.744,0.405212,0.597066,0.662648,0.11112,0.025525,0.026202,0,0,17
2021-12-07 11:08:30.747,0.405289,0.597601,0.662694,0.10962,0.025215,0.025083,0,0,17
2021-12-07 11:08:31.749,0.405968,0.597477,0.662506,0.108574,0.026269,0.026484,0,0,17
2021-12-07 11:08:32.744,0.404621,0.595841,0.661106,0.105248,0.024874,0.025092,0,0,17
2021-12-07 11:08:33.747,0.402917,0.592764,0.658205,0.109003,0.023591,0.023115,0,0,17
2021-12-07 11:08:34.747,0.40431,0.595935,0.661146,0.107177,0.02481,0.024967,0,0,17
2021-12-07 11:08:35.746,0.404468,0.594916,0.660475,0.10983,0.024305,0.024659,0,0,17
2021-12-07 11:08:36.746,0.405707,0.596239,0.662533,0.107861,0.024732,0.024159,0,0,17
2021-12-07 11:08:37.747,0.406148,0.595998,0.660705,0.11327,0.026578,0.02648,0,0,17
2021-12-07 11:08:38.747,0.405738,0.596465,0.661109,0.106406,0.026181,0.025708,0,0,17
2021-12-07 11:08:39.746,0.405381,0.595662,0.660365,0.108353,0.024238,0.024357,0,0,17
2021-12-07 11:08:40.746,0.404783,0.594827,0.660797,0.106824,0.025035,0.02442,0,0,17
2021-12-07 11:08:41.747,0.405759,0.596649,0.661587,0.108846,0.024632,0.024688,0,0,17
2021-12-07 11:08:42.747,0.406363,0.596748,0.662055,0.10942,0.026127,0.026671,0,0,17
2021-12-07 11:08:43.744,0.40547,0.59609,0.661561,0.10699,0.025917,0.026103,0,0,17
2021-12-07 11:08:44.747,0.405064,0.595837,0.660706,0.106368,0.025073,0.026329,0,0,17
2021-12-07 11:08:45.747,0.405686,0.596113,0.661146,0.109981,0.024515,0.02506,0,0,17
2021-12-07 11:08:46.743,0.405378,0.595378,0.659664,0.109225,0.025203,0.025389,0,0,17
2021-12-07 11:08:47.746,0.405618,0.596214,0.661778,0.107312,0.024875,0.023602,0,0,17
2021-12-07 11:08:48.747,0.406517,0.596292,0.661996,0.106109,0.027859,0.02755,0,0,17
2021-12-07 11:08:49.747,0.404673,0.595378,0.661339,0.105643,0.025171,0.026002,0,0,17
2021-12-07 11:08:50.747,0.406169,0.596313,0.661265,0.103748,0.026917,0.026603,0,0,17
2021-12-07 11:08:51.742,0.407328,0.597887,0.662459,0.106491,0.0266,0.026593,0,0,17
2021-12-07 11:08:52.745,0.405064,0.594141,0.660789,0.111514,0.027393,0.026647,0,0,17
2021-12-07 11:08:53.746,0.405654,0.596565,0.661688,0.107491,0.024023,0.02541,0,0,17
2021-12-07 11:08:54.746,0.405875,0.596591,0.661899,0.108439,0.028837,0.029052,0,0,17
2021-12-07 11:08:55.746,0.405938,0.595788,0.660742,0.105988,0.02495,0.0253,0,0,17
2021-12-07 11:08:56.745,0.405544,0.595362,0.661054,0.109681,0.028862,0.027929,0,0,17
2021-12-07 11:08:57.746,0.40629,0.596843,0.663029,0.106082,0.026586,0.026066,0,0,17
2021-12-07 11:08:58.746,0.40609,0.595672,0.661394,0.103777,0.023816,0.022211,0,0,17
2021-12-07 11:08:59.746,0.405405,0.59519,0.660565,0.105629,0.025901,0.02679,0,0,17
2021-12-07 11:09:00.743,0.406168,0.596933,0.661869,0.106971,0.026029,0.026684,0,0,17
2021-12-07 11:09:01.746,0.405053,0.594471,0.65892,0.108381,0.025624,0.026504,0,0,17
2021-12-07 11:09:02.743,0.407292,0.598692,0.664095,0.105639,0.024977,0.024403,0,0,17
2021-12-07 11:09:03.745,0.405587,0.596706,0.661549,0.109766,0.023212,0.02258,0,0,17
2021-12-07 11:09:04.745,0.405749,0.596937,0.661697,0.10634,0.026184,0.026682,0,0,17
2021-12-07 11:09:05.746,0.404988,0.594895,0.661008,0.105555,0.022718,0.022879,0,0,17
2021-12-07 11:09:06.746,0.405749,0.59647,0.660742,0.106741,0.026486,0.025822,0,0,17
2021-12-07 11:09:07.745,0.405591,0.595698,0.66019,0.108637,0.025431,0.025786,0,0,17
2021-12-07 11:09:08.746,0.408038,0.597851,0.662193,0.106832,0.026229,0.025499,0,0,17
2021-12-07 11:09:09.746,0.405775,0.597016,0.662846,0.104722,0.024585,0.02408,0,0,17
2021-12-07 11:09:10.741,0.407254,0.596823,0.661947,0.105974,0.024368,0.023617,0,0,17
2021-12-07 11:09:11.744,0.405577,0.596858,0.661274,0.107818,0.026726,0.028599,0,0,17
2021-12-07 11:09:12.746,0.405721,0.595994,0.662488,0.105021,0.02418,0.024827,0,0,17
2021-12-07 11:09:13.746,0.405828,0.595767,0.662,0.102385,0.024641,0.024495,0,0,17
2021-12-07 11:09:14.746,0.40431,0.594428,0.659602,0.102911,0.02711,0.027717,0,0,17
2021-12-07 11:09:15.745,0.40556,0.596076,0.660209,0.103365,0.025141,0.026489,0,0,17
2021-12-07 11:09:16.746,0.405208,0.59459,0.660126,0.103279,0.02702,0.026987,0,0,17
2021-12-07 11:09:17.746,0.406001,0.597126,0.662809,0.105337,0.027026,0.027956,0,0,17
2021-12-07 11:09:18.746,0.406237,0.596643,0.662772,0.105807,0.024702,0.02497,0,0,17
2021-12-07 11:09:19.745,0.407051,0.597331,0.662781,0.105823,0.023752,0.024198,0,0,17
2021-12-07 11:09:20.744,0.405682,0.596375,0.661069,0.104182,0.025087,0.02512,0,0,17
2021-12-07 11:09:21.741,0.405159,0.594995,0.660667,0.103046,0.025476,0.025715,0,0,17
2021-12-07 11:09:22.744,0.406896,0.597141,0.661576,0.104914,0.022867,0.02301,0,0,17
2021-12-07 11:09:23.741,0.405459,0.595727,0.66051,0.103811,0.028891,0.028827,0,0,17
2021-12-07 11:09:24.744,0.404938,0.595455,0.661338,0.104372,0.025499,0.025155,0,0,17
2021-12-07 11:09:25.743,0.405607,0.595872,0.661219,0.103947,0.024881,0.02555,0,0,17
2021-12-07 11:09:26.744,0.403581,0.593955,0.660053,0.106912,0.02456,0.024589,0,0,17
2021-12-07 11:09:27.741,0.405196,0.595311,0.660778,0.106056,0.025496,0.025699,0,0,17
2021-12-07 11:09:28.744,0.406613,0.597617,0.663298,0.102564,0.024063,0.02352,0,0,17
2021-12-07 11:09:29.743,0.405765,0.596034,0.661449,0.101916,0.024748,0.023575,0,0,17
2021-12-07 11:09:30.741,0.405454,0.596296,0.661478,0.106089,0.025535,0.025223,0,0,17
2021-12-07 11:09:31.744,0.405048,0.596345,0.661439,0.106887,0.024608,0.025676,0,0,17
2021-12-07 11:09:32.743,0.405166,0.596171,0.661945,0.103966,0.025273,0.024166,0,0,17
2021-12-07 11:09:33.743,0.405912,0.59573,0.661275,0.103327,0.023878,0.024055,0,0,17
2021-12-07 11:09:34.744,0.405996,0.598182,0.662469,0.104884,0.02634,0.026754,0,0,17
2021-12-07 11:09:35.744,0.405413,0.59647,0.66291,0.104421,0.027544,0.027406,0,0,17
2021-12-07 11:09:36.739,0.404605,0.596438,0.661827,0.105502,0.023554,0.024494,0,0,17
2021-12-07 11:09:37.742,0.405192,0.597391,0.662049,0.104715,0.024096,0.025002,0,0,17
2021-12-07 11:09:38.744,0.404356,0.595699,0.660583,0.106436,0.026844,0.026311,0,0,17
2021-12-07 11:09:39.739,0.40431,0.59506,0.659675,0.104368,0.025246,0.025739,0,0,17
2021-12-07 11:09:40.743,0.404653,0.594468,0.659505,0.102993,0.026717,0.026221,0,0,17
2021-12-07 11:09:41.744,0.406396,0.598416,0.663391,0.104219,0.025383,0.025056,0,0,17
2021-12-07 11:09:42.739,0.405835,0.597197,0.662491,0.104705,0.024488,0.024066,0,0,17
2021-12-07 11:09:43.743,0.404669,0.59577,0.662094,0.102201,0.024632,0.024415,0,0,17
2021-12-07 11:09:44.743,0.405793,0.596979,0.662364,0.10465,0.025505,0.025612,0,0,17
2021-12-07 11:09:45.744,0.403743,0.593278,0.65816,0.101667,0.023691,0.0241,0,0,17
2021-12-07 11:09:46.743,0.404817,0.595356,0.660892,0.10499,0.025996,0.026516,0,0,17
2021-12-07 11:09:47.743,0.405549,0.596664,0.661863,0.100825,0.02519,0.025304,0,0,17
2021-12-07 11:09:48.743,0.405321,0.597194,0.661611,0.10166,0.024926,0.025226,0,0,17
2021-12-07 11:09:49.742,0.404512,0.596049,0.661903,0.105069,0.024685,0.025534,0,0,17
2021-12-07 11:09:50.743,0.405738,0.59709,0.6611,0.101229,0.025105,0.024864,0,0,17
