Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future,LogId
1900-01-01 13:35:02.939,0.25542,0.269122,0.475168,1.683769,0,0.0,12
1900-01-01 13:35:03.939,0.254701,0.268671,0.474984,1.415025,0,0.0,12
1900-01-01 13:35:04.939,0.255132,0.268225,0.475122,1.443314,0,0.0,12
1900-01-01 13:35:05.939,0.254554,0.268639,0.474617,1.396165,0,0.0,12
1900-01-01 13:35:06.939,0.256155,0.269616,0.47571,1.853502,0,0.0,12
1900-01-01 13:35:07.939,0.25467,0.26845,0.47594,1.518751,0,0.0,12
1900-01-01 13:35:08.939,0.254764,0.268529,0.474396,1.754491,0,0.0,12
1900-01-01 13:35:09.939,0.254832,0.269028,0.475921,1.641336,0,0.0,12
1900-01-01 13:35:10.939,0.255536,0.269264,0.474571,1.325443,0,0.0,12
1900-01-01 13:35:11.939,0.254712,0.268372,0.474222,1.575328,0,0.0,12
1900-01-01 13:35:12.939,0.254481,0.268771,0.475627,1.66491,0,0.0,12
1900-01-01 13:35:13.939,0.254817,0.268645,0.474938,1.509321,0,0.0,12
1900-01-01 13:35:14.939,0.256119,0.269584,0.475232,1.64605,0,0.0,12
1900-01-01 13:35:15.939,0.255184,0.268839,0.475306,1.707343,0,0.0,12
1900-01-01 13:35:16.939,0.254433,0.267831,0.475186,1.603617,0,0.0,12
1900-01-01 13:35:17.939,0.255326,0.269542,0.475425,1.641336,0,0.0,12
1900-01-01 13:35:18.939,0.254754,0.268445,0.475508,1.806354,0,0.0,12
1900-01-01 13:35:19.939,0.254832,0.268734,0.474727,1.476317,0,0.0,12
1900-01-01 13:35:20.939,0.255478,0.268487,0.475287,1.674339,0,0.0,12
1900-01-01 13:35:21.939,0.254817,0.268288,0.474121,1.415025,0,0.0,12
1900-01-01 13:35:22.939,0.255636,0.268692,0.475003,1.650765,0,0.0,12
1900-01-01 13:35:23.939,0.255336,0.26844,0.474442,1.27358,0,0.0,12
1900-01-01 13:35:24.939,0.255835,0.269301,0.475453,1.712058,0,0.0,12
1900-01-01 13:35:25.939,0.254523,0.26812,0.473836,1.862932,0,0.0,12
1900-01-01 13:35:26.939,0.25479,0.268603,0.473891,1.688484,0,0.0,12
1900-01-01 13:35:27.939,0.256029,0.269474,0.475241,1.594187,0,0.0,12
1900-01-01 13:35:28.939,0.255342,0.269164,0.476316,1.523465,0,0.0,12
1900-01-01 13:35:29.939,0.255615,0.268886,0.475177,1.716772,0,0.0,12
1900-01-01 13:35:30.939,0.253719,0.267001,0.473211,1.834643,0,0.0,12
1900-01-01 13:35:31.939,0.254885,0.268582,0.474589,1.693198,0,0.0,12
1900-01-01 13:35:32.939,0.254691,0.267731,0.474167,1.259436,0,0.0,12
1900-01-01 13:35:33.939,0.254444,0.26792,0.472798,1.712058,0,0.0,12
1900-01-01 13:35:34.939,0.25321,0.266623,0.471787,1.749776,0,0.0,12
1900-01-01 13:35:35.939,0.254465,0.268051,0.473082,1.759206,0,0.0,12
1900-01-01 13:35:36.939,0.254827,0.268309,0.474056,1.367877,0,0.0,12
1900-01-01 13:35:37.939,0.254901,0.268886,0.474754,1.679054,0,0.0,12
1900-01-01 13:35:38.939,0.255126,0.268477,0.474424,1.490462,0,0.0,12
1900-01-01 13:35:39.939,0.254733,0.268319,0.474378,1.726202,0,0.0,12
1900-01-01 13:35:40.939,0.255294,0.268792,0.474993,2.108102,0,0.0,12
1900-01-01 13:35:41.939,0.256266,0.268834,0.475517,1.636621,0,0.0,12
1900-01-01 13:35:42.939,0.254964,0.268377,0.4748,1.40088,0,0.0,12
1900-01-01 13:35:43.939,0.25373,0.267264,0.47333,1.551754,0,0.0,12
1900-01-01 13:35:44.939,0.254811,0.268251,0.47379,1.721487,0,0.0,12
1900-01-01 13:35:45.939,0.254785,0.267883,0.474332,1.424454,0,0.0,12
1900-01-01 13:35:46.939,0.255861,0.269149,0.474856,1.353732,0,0.0,12
1900-01-01 13:35:47.939,0.254932,0.268524,0.474617,1.674339,0,0.0,12
1900-01-01 13:35:48.939,0.255279,0.268424,0.473974,1.349017,0,0.0,12
1900-01-01 13:35:49.939,0.256098,0.269143,0.474966,1.509321,0,0.0,12
1900-01-01 13:35:50.939,0.255441,0.268198,0.475205,1.641336,0,0.0,12
1900-01-01 13:35:51.939,0.255368,0.269044,0.4748,1.641336,0,0.0,12
1900-01-01 13:35:52.939,0.255273,0.268351,0.474865,1.801639,0,0.0,12
1900-01-01 13:35:53.939,0.254134,0.26823,0.474451,1.481032,0,0.0,12
1900-01-01 13:35:54.939,0.254024,0.267532,0.473551,1.391451,0,0.0,12
1900-01-01 13:35:55.939,0.255342,0.269128,0.474709,1.697913,0,0.0,12
1900-01-01 13:35:56.939,0.254155,0.267411,0.473542,1.556469,0,0.0,12
1900-01-01 13:35:57.939,0.254895,0.268309,0.474626,1.787495,0,0.0,12
1900-01-01 13:35:58.939,0.254559,0.267873,0.474672,1.53761,0,0.0,12
1900-01-01 13:35:59.939,0.254832,0.268387,0.47379,1.405595,0,0.0,12
1900-01-01 13:36:00.939,0.255573,0.268713,0.473312,1.589473,0,0.0,12
1900-01-01 13:36:01.939,0.254297,0.267904,0.474562,1.353732,0,0.0,12
1900-01-01 13:36:02.939,0.255546,0.269427,0.474911,1.66491,0,0.0,12
1900-01-01 13:36:03.939,0.255499,0.269222,0.475094,1.763921,0,0.0,12
1900-01-01 13:36:04.939,0.256213,0.269984,0.475581,1.763921,0,0.0,12
1900-01-01 13:36:05.939,0.255321,0.268718,0.475214,1.41031,0,0.0,12
1900-01-01 13:36:06.939,0.255048,0.268235,0.474975,1.556469,0,0.0,12
1900-01-01 13:36:07.939,0.255158,0.268692,0.474277,1.712058,0,0.0,12
1900-01-01 13:36:08.939,0.255163,0.268009,0.475104,1.584758,0,0.0,12
1900-01-01 13:36:09.939,0.254864,0.267784,0.473441,1.867646,0,0.0,12
1900-01-01 13:36:10.939,0.254334,0.267584,0.473505,1.561184,0,0.0,12
1900-01-01 13:36:11.939,0.255856,0.268923,0.475738,1.730917,0,0.0,12
1900-01-01 13:36:12.939,0.255221,0.268335,0.474268,1.391451,0,0.0,12
1900-01-01 13:36:13.939,0.254969,0.268366,0.473744,1.825213,0,0.0,12
1900-01-01 13:36:14.939,0.254853,0.267085,0.474571,1.532895,0,0.0,12
1900-01-01 13:36:15.939,0.256066,0.269091,0.475113,1.542325,0,0.0,12
1900-01-01 13:36:16.939,0.255357,0.268435,0.475581,1.825213,0,0.0,12
1900-01-01 13:36:17.939,0.254796,0.268172,0.474084,1.466888,0,0.0,12
1900-01-01 13:36:18.939,0.255111,0.268356,0.475306,1.730917,0,0.0,12
1900-01-01 13:36:19.939,0.254722,0.268398,0.474819,1.608332,0,0.0,12
1900-01-01 13:36:20.939,0.255284,0.268104,0.47526,1.631906,0,0.0,12
1900-01-01 13:36:21.939,0.255116,0.268288,0.474212,1.65548,0,0.0,12
1900-01-01 13:36:22.939,0.254759,0.267364,0.474378,1.405595,0,0.0,12
1900-01-01 13:36:23.939,0.255174,0.26824,0.474359,1.556469,0,0.0,12
1900-01-01 13:36:24.939,0.255347,0.268755,0.474598,1.702628,0,0.0,12
1900-01-01 13:36:25.939,0.255205,0.268151,0.47469,1.693198,0,0.0,12
1900-01-01 13:36:26.939,0.256071,0.268513,0.474929,1.41974,0,0.0,12
1900-01-01 13:36:27.939,0.256061,0.269101,0.475434,1.448028,0,0.0,12
1900-01-01 13:36:28.939,0.254901,0.267773,0.474699,1.499891,0,0.0,12
1900-01-01 13:36:29.939,0.255016,0.268183,0.474754,1.424454,0,0.0,12
1900-01-01 13:36:30.939,0.256082,0.268797,0.474304,1.919509,0,0.0,12
1900-01-01 13:36:31.939,0.256103,0.26854,0.474957,1.844072,0,0.0,12
1900-01-01 13:36:32.939,0.255263,0.267715,0.474286,1.65548,0,0.0,12
1900-01-01 13:36:33.939,0.254838,0.267799,0.474176,1.52818,0,0.0,12
1900-01-01 13:36:34.939,0.254712,0.268067,0.4739,1.820498,0,0.0,12
1900-01-01 13:36:35.939,0.254948,0.268004,0.474102,1.867646,0,0.0,12
1900-01-01 13:36:36.939,0.256339,0.268902,0.474212,1.598902,0,0.0,12
1900-01-01 13:36:37.939,0.256103,0.269101,0.476206,1.839357,0,0.0,12
1900-01-01 13:36:38.939,0.256113,0.26824,0.475609,1.485747,0,0.0,12
1900-01-01 13:36:39.939,0.254638,0.267022,0.474148,1.617761,0,0.0,12
1900-01-01 13:36:40.939,0.254985,0.268083,0.474929,1.448028,0,0.0,12
1900-01-01 13:36:41.939,0.255457,0.26845,0.475692,1.683769,0,0.0,12
1900-01-01 13:36:42.939,0.256155,0.268251,0.476757,1.631906,0,0.0,12
1900-01-01 13:36:43.939,0.255258,0.268172,0.475269,1.594187,0,0.0,12
1900-01-01 13:36:44.939,0.254974,0.267831,0.474396,1.721487,0,0.0,12
1900-01-01 13:36:45.939,0.255804,0.2677,0.474258,1.740347,0,0.0,12
1900-01-01 13:36:46.939,0.256266,0.268519,0.474157,1.462173,0,0.0,12
1900-01-01 13:36:47.939,0.255688,0.269117,0.4748,1.763921,0,0.0,12
1900-01-01 13:36:48.939,0.255767,0.267227,0.474966,1.499891,0,0.0,12
1900-01-01 13:36:49.939,0.255998,0.268078,0.473395,1.542325,0,0.0,12
1900-01-01 13:36:50.939,0.255578,0.267595,0.473496,1.825213,0,0.0,12
1900-01-01 13:36:51.939,0.255242,0.268114,0.474212,1.598902,0,0.0,12
1900-01-01 13:36:52.939,0.255142,0.2674,0.473597,1.862932,0,0.0,12
1900-01-01 13:36:53.939,0.256659,0.268256,0.474856,1.476317,0,0.0,12
1900-01-01 13:36:54.939,0.255405,0.267474,0.474506,1.78278,0,0.0,12
1900-01-01 13:36:55.939,0.256061,0.268576,0.474295,1.726202,0,0.0,12
1900-01-01 13:36:56.939,0.255809,0.267831,0.475177,1.792209,0,0.0,12
1900-01-01 13:36:57.939,0.254622,0.267059,0.472945,1.613047,0,0.0,12
1900-01-01 13:36:58.939,0.255924,0.267878,0.474663,1.613047,0,0.0,12
1900-01-01 13:36:59.939,0.255578,0.268792,0.473983,1.514036,0,0.0,12
1900-01-01 13:37:00.939,0.255221,0.267043,0.473082,1.679054,0,0.0,12
1900-01-01 13:37:01.939,0.256103,0.26844,0.47401,1.452743,0,0.0,12
1900-01-01 13:37:02.939,0.255042,0.266975,0.47368,1.358447,0,0.0,12
1900-01-01 13:37:03.939,0.255772,0.26813,0.47367,1.820498,0,0.0,12
1900-01-01 13:37:04.939,0.25614,0.268277,0.474672,1.641336,0,0.0,12
1900-01-01 13:37:05.939,0.256124,0.268193,0.474598,1.448028,0,0.0,12
1900-01-01 13:37:06.939,0.254922,0.268125,0.474525,1.471602,0,0.0,12
1900-01-01 13:37:07.939,0.254412,0.267505,0.473836,1.490462,0,0.0,12
1900-01-01 13:37:08.939,0.255468,0.267857,0.473762,1.367877,0,0.0,12
1900-01-01 13:37:09.939,0.256497,0.268561,0.474534,1.52818,0,0.0,12
1900-01-01 13:37:10.939,0.256922,0.269133,0.474699,1.556469,0,0.0,12
1900-01-01 13:37:11.939,0.255793,0.268466,0.474506,1.514036,0,0.0,12
1900-01-01 13:37:12.939,0.25562,0.267836,0.47345,1.52818,0,0.0,12
1900-01-01 13:37:13.939,0.256171,0.268876,0.474387,1.65548,0,0.0,12
1900-01-01 13:37:14.939,0.254979,0.267705,0.473634,1.353732,0,0.0,12
1900-01-01 13:37:15.939,0.255893,0.268198,0.473468,1.594187,0,0.0,12
1900-01-01 13:37:16.939,0.255531,0.267952,0.474286,1.745061,0,0.0,12
1900-01-01 13:37:17.939,0.256155,0.269091,0.474699,1.598902,0,0.0,12
1900-01-01 13:37:18.939,0.256019,0.268487,0.475388,1.52818,0,0.0,12
1900-01-01 13:37:19.939,0.256166,0.268524,0.474883,1.89122,0,0.0,12
1900-01-01 13:37:20.939,0.255699,0.267521,0.474185,1.759206,0,0.0,12
1900-01-01 13:37:21.939,0.2551,0.267763,0.472641,1.669624,0,0.0,12
1900-01-01 13:37:22.939,0.254754,0.267542,0.472926,1.938368,0,0.0,12
1900-01-01 13:37:23.939,0.255951,0.26854,0.473845,1.320729,0,0.0,12
1900-01-01 13:37:24.939,0.25573,0.2677,0.473294,1.391451,0,0.0,12
1900-01-01 13:37:25.939,0.256271,0.268183,0.474157,1.858217,0,0.0,12
1900-01-01 13:37:26.939,0.256192,0.268151,0.474543,1.443314,0,0.0,12
