Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future,LogId
2022-03-15 12:46:20.000,0.650201,0.994709,1.111414,2002.341954,0,0.0,22
2022-03-15 12:46:20.500,0.649503,0.993024,1.110633,2002.577695,0,0.0,22
2022-03-15 12:46:21.000,0.651461,0.997712,1.114639,2001.568726,0,0.0,22
2022-03-15 12:46:21.500,0.650789,0.995328,1.113399,2003.162331,0,0.0,22
2022-03-15 12:46:22.000,0.65081,0.993433,1.11101,2004.364607,0,0.0,22
2022-03-15 12:46:22.500,0.649188,0.992624,1.109467,2002.624843,0,0.0,22
2022-03-15 12:46:23.000,0.649382,0.994803,1.112131,2000.687057,0,0.0,22
2022-03-15 12:46:23.500,0.649917,0.993984,1.111653,2003.973278,0,0.0,22
2022-03-15 12:46:24.000,0.65018,0.995145,1.112517,2003.511227,0,0.0,22
2022-03-15 12:46:24.500,0.649051,0.993837,1.1109,2003.058605,0,0.0,22
2022-03-15 12:46:25.000,0.648059,0.993496,1.110909,2005.085973,0,0.0,22
2022-03-15 12:46:25.500,0.650794,0.996011,1.111865,2005.472587,0,0.0,22
2022-03-15 12:46:26.000,0.649335,0.992976,1.109356,2003.614953,0,0.0,22
2022-03-15 12:46:26.500,0.648568,0.992435,1.109742,2001.460285,0,0.0,22
2022-03-15 12:46:27.000,0.651913,0.99746,1.114685,2003.110468,0,0.0,22
2022-03-15 12:46:27.500,0.651367,0.996888,1.114419,2005.703613,0,0.0,22
2022-03-15 12:46:28.000,0.651167,0.996972,1.114363,2005.87806,0,0.0,22
2022-03-15 12:46:28.500,0.648657,0.993643,1.111102,2004.774795,0,0.0,22
2022-03-15 12:46:29.000,0.649587,0.994835,1.112416,2001.95534,0,0.0,22
2022-03-15 12:46:29.500,0.64913,0.993627,1.110854,2003.157616,0,0.0,22
2022-03-15 12:46:30.000,0.6486,0.992393,1.110073,2001.625303,0,0.0,22
2022-03-15 12:46:30.500,0.650668,0.996736,1.114529,2001.384848,0,0.0,22
2022-03-15 12:46:31.000,0.649587,0.995176,1.113142,2003.412216,0,0.0,22
