Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),Temperature TS outlet (Std Dev),Temperature TS inlet (Std Dev),Bypass temperature (Std Dev),Tank temperature (Std Dev),Differential pressure (Std Dev),Pressure before pump (Std Dev),Pressure after pump (Std Dev),Flow rate (Std Dev),Plug,Anomaly,Plug_future
1900-01-01 10:08:40.345,0.756625,0.000282,0.212578,1562.351632,6.369899,-1.450257,-0.936204,21.964556,0.247635,0.729237,0.221216,1.011902,0.017083,0.084302,0.005672,12.779839,0,0,0.0
1900-01-01 10:08:40.849,0.756242,0.00031,0.212339,1562.117159,6.377754,-1.407782,-0.924766,21.973555,0.245982,0.681801,0.241369,1.141128,0.016588,0.081887,0.005673,11.269987,0,0,0.0
1900-01-01 10:08:41.347,0.758112,0.000315,0.213629,1561.790531,6.334199,-1.377639,-0.919011,21.960441,0.260101,0.669504,0.23341,1.059039,0.01594,0.083309,0.005562,12.946812,0,0,0.0
1900-01-01 10:08:41.849,0.757756,0.000674,0.212449,1561.480065,6.318294,-1.328266,-0.919289,21.963291,0.245155,0.669981,0.22109,1.07319,0.016408,0.082494,0.00558,12.053834,0,0,0.0
1900-01-01 10:08:42.345,0.75816,0.000589,0.213356,1561.534145,6.264318,-1.309211,-0.906035,21.967468,0.259173,0.69519,0.219641,1.086751,0.016824,0.079338,0.005774,10.798876,0,0,0.0
1900-01-01 10:08:42.845,0.753591,0.000653,0.212136,1561.469659,6.322146,-1.250475,-0.884629,21.971061,0.26024,0.718688,0.228397,1.049599,0.01596,0.078846,0.005775,11.148821,0,0,0.0
1900-01-01 10:08:43.349,0.756492,0.000695,0.21181,1560.657813,6.209526,-1.219235,-0.885179,21.950634,0.248366,0.644076,0.226923,1.062183,0.01609,0.077327,0.005772,11.045923,0,0,0.0
1900-01-01 10:08:43.846,0.75682,0.000689,0.212273,1558.878297,6.222084,-1.176587,-0.867506,21.972796,0.254483,0.746445,0.231761,1.038479,0.016337,0.076795,0.005702,13.165792,0,0,0.0
1900-01-01 10:08:44.345,0.756841,0.00069,0.212992,1558.133823,6.221241,-1.12757,-0.847992,21.970497,0.248751,0.616732,0.227228,1.090587,0.016568,0.077266,0.005777,11.104508,0,0,0.0
1900-01-01 10:08:44.849,0.757565,0.000789,0.213068,1559.900076,6.220724,-1.09423,-0.836737,21.972253,0.254766,0.722166,0.224819,0.983266,0.017138,0.079367,0.005656,12.539958,0,0,0.0
1900-01-01 10:08:45.345,0.755259,0.000599,0.212189,1559.842137,6.205838,-1.068931,-0.813146,21.975937,0.219607,0.654369,0.224936,1.103123,0.017435,0.071167,0.005736,11.09236,0,0,0.0
1900-01-01 10:08:45.849,0.754356,0.000581,0.2113,1560.087172,6.109006,-1.035635,-0.803922,21.966522,0.252198,0.717014,0.213919,0.949302,0.016758,0.072533,0.005765,10.538323,0,0,0.0
1900-01-01 10:08:46.345,0.757345,0.000515,0.212523,1557.760397,6.184669,-0.992455,-0.778478,21.97726,0.253421,0.757035,0.222451,1.091061,0.017596,0.072041,0.005608,11.563776,0,0,0.0
1900-01-01 10:08:46.849,0.757023,0.000497,0.212777,1557.767187,6.134006,-0.954643,-0.762251,21.969127,0.25797,0.684689,0.229786,1.099555,0.016935,0.074506,0.005639,11.234499,0,0,0.0
1900-01-01 10:08:47.345,0.755492,0.000557,0.211319,1559.053167,6.097875,-0.915978,-0.746457,21.958204,0.251907,0.767998,0.236297,1.018206,0.016615,0.075531,0.005654,12.398773,0,0,0.0
