Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future,LogId
2022-11-03 14:06:00.000,0.320851,0.457392,0.527352,1266.091633,0,0,18
2022-11-03 14:06:00.500,0.320661,0.457439,0.527673,1265.290115,0,0,18
2022-11-03 14:06:01.000,0.320803,0.456578,0.526598,1263.880387,0,0,18
2022-11-03 14:06:01.500,0.321055,0.457754,0.527563,1263.861528,0,0,18
2022-11-03 14:06:02.000,0.320714,0.457481,0.5276,1265.011941,0,0,18
2022-11-03 14:06:02.500,0.319911,0.455995,0.526231,1264.587609,0,0,18
2022-11-03 14:06:03.000,0.320924,0.456379,0.526598,1263.672936,0,0,18
2022-11-03 14:06:03.500,0.320567,0.457744,0.528234,1263.621073,0,0,18
2022-11-03 14:06:04.000,0.320998,0.457628,0.52816,1265.841748,0,0,18
2022-11-03 14:06:04.500,0.321008,0.457775,0.527673,1265.525856,0,0,18
2022-11-03 14:06:05.000,0.320346,0.457376,0.527682,1265.907755,0,0,18
2022-11-03 14:06:05.500,0.319947,0.457418,0.527885,1265.365552,0,0,18
2022-11-03 14:06:06.000,0.319958,0.456463,0.526617,1264.813919,0,0,18
2022-11-03 14:06:06.500,0.320325,0.456757,0.527471,1263.922821,0,0,18
2022-11-03 14:06:07.000,0.320814,0.457261,0.527306,1264.040691,0,0,18
2022-11-03 14:06:07.500,0.320646,0.457581,0.527499,1264.644186,0,0,18
2022-11-03 14:06:08.000,0.3198,0.456578,0.52715,1264.846923,0,0,18
2022-11-03 14:06:08.500,0.32032,0.457119,0.528059,1264.757342,0,0,18
2022-11-03 14:06:09.000,0.320583,0.457066,0.527453,1265.6673,0,0,18
2022-11-03 14:06:09.500,0.320383,0.456835,0.5268,1266.053914,0,0,18
2022-11-03 14:06:10.000,0.321239,0.457796,0.527903,1265.054375,0,0,18
2022-11-03 14:06:10.500,0.320709,0.457387,0.52771,1266.454673,0,0,18
2022-11-03 14:06:11.000,0.320409,0.456757,0.52715,1265.525856,0,0,18
2022-11-03 14:06:11.500,0.319737,0.455953,0.526626,1264.818634,0,0,18
2022-11-03 14:06:12.000,0.320656,0.458347,0.526892,1265.2854,0,0,18
2022-11-03 14:06:12.500,0.320042,0.457098,0.526589,1265.728592,0,0,18
2022-11-03 14:06:13.000,0.320425,0.457213,0.527241,1265.143956,0,0,18
2022-11-03 14:06:13.500,0.320672,0.457429,0.528059,1264.19628,0,0,18
2022-11-03 14:06:14.000,0.320047,0.456274,0.526442,1265.837033,0,0,18
2022-11-03 14:06:14.500,0.320971,0.457371,0.526773,1265.860607,0,0,18
2022-11-03 14:06:15.000,0.319863,0.456358,0.526488,1265.601292,0,0,18
2022-11-03 14:06:15.500,0.320089,0.457177,0.527177,1264.960079,0,0,18
2022-11-03 14:06:16.000,0.320079,0.457014,0.527471,1264.66776,0,0,18
2022-11-03 14:06:16.500,0.321061,0.458148,0.527664,1265.573004,0,0,18
2022-11-03 14:06:17.000,0.320688,0.457282,0.527673,1266.002051,0,0,18
2022-11-03 14:06:17.500,0.319533,0.456095,0.526644,1265.601292,0,0,18
2022-11-03 14:06:18.000,0.319716,0.455586,0.526157,1264.91293,0,0,18
2022-11-03 14:06:18.500,0.321092,0.456814,0.527067,1264.813919,0,0,18
2022-11-03 14:06:19.000,0.319953,0.456289,0.526929,1265.252397,0,0,18
2022-11-03 14:06:19.500,0.319312,0.455675,0.526874,1265.370267,0,0,18
2022-11-03 14:06:20.000,0.319233,0.455444,0.525964,1264.771486,0,0,18
2022-11-03 14:06:20.500,0.319916,0.457266,0.527416,1264.257572,0,0,18
2022-11-03 14:06:21.000,0.320788,0.457219,0.527471,1265.832318,0,0,18
2022-11-03 14:06:21.500,0.319821,0.45598,0.526166,1265.865322,0,0,18
2022-11-03 14:06:22.000,0.319223,0.455192,0.526488,1264.719623,0,0,18
2022-11-03 14:06:22.500,0.320336,0.456893,0.526966,1264.158561,0,0,18
2022-11-03 14:06:23.000,0.320157,0.45703,0.527104,1265.4127,0,0,18
2022-11-03 14:06:23.500,0.320247,0.4563,0.526828,1266.138781,0,0,18
2022-11-03 14:06:24.000,0.319722,0.456368,0.526378,1265.092093,0,0,18
2022-11-03 14:06:24.500,0.319932,0.456216,0.526516,1264.663046,0,0,18
2022-11-03 14:06:25.000,0.320861,0.458116,0.528087,1265.455133,0,0,18
2022-11-03 14:06:25.500,0.32021,0.456232,0.526258,1266.907294,0,0,18
2022-11-03 14:06:26.000,0.31927,0.455748,0.52613,1265.506996,0,0,18
2022-11-03 14:06:26.500,0.319968,0.457738,0.528096,1264.573464,0,0,18
2022-11-03 14:06:27.000,0.319475,0.455622,0.525744,1266.709272,0,0,18
2022-11-03 14:06:27.500,0.320184,0.456069,0.526433,1264.205709,0,0,18
2022-11-03 14:06:28.000,0.319386,0.456211,0.526975,1264.861068,0,0,18
2022-11-03 14:06:28.500,0.319737,0.456242,0.526571,1265.214678,0,0,18
2022-11-03 14:06:29.000,0.320105,0.456604,0.527039,1265.313689,0,0,18
2022-11-03 14:06:29.500,0.320131,0.457219,0.527306,1264.950649,0,0,18
2022-11-03 14:06:30.000,0.320262,0.457628,0.527894,1265.624867,0,0,18
2022-11-03 14:06:30.500,0.319113,0.456001,0.526663,1265.917185,0,0,18
2022-11-03 14:06:31.000,0.319774,0.456699,0.526516,1265.554144,0,0,18
2022-11-03 14:06:31.500,0.319989,0.457003,0.527195,1265.209963,0,0,18
2022-11-03 14:06:32.000,0.319995,0.456694,0.527241,1265.431559,0,0,18
2022-11-03 14:06:32.500,0.318708,0.45495,0.526111,1266.011481,0,0,18
2022-11-03 14:06:33.000,0.320294,0.457266,0.527407,1265.742737,0,0,18
2022-11-03 14:06:33.500,0.320042,0.456573,0.527113,1266.086918,0,0,18
2022-11-03 14:06:34.000,0.319244,0.455559,0.525836,1265.601292,0,0,18
2022-11-03 14:06:34.500,0.320682,0.456961,0.527287,1264.625327,0,0,18
2022-11-03 14:06:35.000,0.319879,0.45609,0.526626,1265.044945,0,0,18
2022-11-03 14:06:35.500,0.321045,0.457828,0.527664,1264.884642,0,0,18
2022-11-03 14:06:36.000,0.319711,0.456751,0.526828,1267.105316,0,0,18
2022-11-03 14:06:36.500,0.319958,0.457623,0.528032,1266.605547,0,0,18
2022-11-03 14:06:37.000,0.319806,0.456111,0.52658,1266.746991,0,0,18
2022-11-03 14:06:37.500,0.319265,0.454677,0.526231,1265.365552,0,0,18
2022-11-03 14:06:38.000,0.320556,0.457696,0.528206,1264.347153,0,0,18
2022-11-03 14:06:38.500,0.319989,0.456573,0.526304,1266.497106,0,0,18
2022-11-03 14:06:39.000,0.319223,0.455281,0.526056,1266.426384,0,0,18
2022-11-03 14:06:39.500,0.32052,0.456841,0.527048,1265.53057,0,0,18
2022-11-03 14:06:40.000,0.32074,0.45808,0.527903,1267.350486,0,0,18
2022-11-03 14:06:40.500,0.319092,0.45588,0.526029,1267.416494,0,0,18
2022-11-03 14:06:41.000,0.319044,0.454929,0.525312,1265.464563,0,0,18
2022-11-03 14:06:41.500,0.320131,0.456179,0.526957,1264.630042,0,0,18
2022-11-03 14:06:42.000,0.319228,0.455654,0.525533,1264.663046,0,0,18
2022-11-03 14:06:42.500,0.320157,0.456604,0.527489,1264.526316,0,0,18
2022-11-03 14:06:43.000,0.318955,0.455428,0.525854,1265.323119,0,0,18
2022-11-03 14:06:43.500,0.32064,0.458017,0.526773,1265.228823,0,0,18
2022-11-03 14:06:44.000,0.319554,0.456352,0.526617,1266.03034,0,0,18
2022-11-03 14:06:44.500,0.319753,0.456142,0.526534,1266.251936,0,0,18
2022-11-03 14:06:45.000,0.320052,0.457376,0.528518,1265.747452,0,0,18
2022-11-03 14:06:45.500,0.320016,0.456946,0.527682,1267.133605,0,0,18
2022-11-03 14:06:46.000,0.320163,0.456736,0.527058,1266.563113,0,0,18
2022-11-03 14:06:46.500,0.319097,0.454919,0.525358,1266.614976,0,0,18
2022-11-03 14:06:47.000,0.320394,0.456662,0.526506,1264.67719,0,0,18
2022-11-03 14:06:47.500,0.319191,0.455397,0.526194,1265.606007,0,0,18
2022-11-03 14:06:48.000,0.319102,0.455449,0.52635,1265.568289,0,0,18
2022-11-03 14:06:48.500,0.318834,0.455528,0.526075,1265.6673,0,0,18
2022-11-03 14:06:49.000,0.319239,0.455066,0.526075,1264.366013,0,0,18
2022-11-03 14:06:49.500,0.319013,0.455239,0.525386,1264.762057,0,0,18
2022-11-03 14:06:50.000,0.31906,0.455517,0.526396,1263.908676,0,0,18
2022-11-03 14:06:50.500,0.319638,0.456326,0.526313,1264.936505,0,0,18
2022-11-03 14:06:51.000,0.319569,0.456452,0.526479,1265.379696,0,0,18
2022-11-03 14:06:51.500,0.318819,0.455465,0.526093,1266.152925,0,0,18
2022-11-03 14:06:52.000,0.319113,0.455927,0.525909,1266.185929,0,0,18
