Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),LogId,Plug,Plug_future
1900-01-01 14:51:06.330,22.084809,23.496209,22.423823,22.306702,-0.001149,-0.000124,0.037587,1.127421,8,0,0.0
1900-01-01 14:51:07.330,22.086515,23.472452,22.425135,22.309064,-0.001296,-0.000103,0.037991,1.004836,8,0,0.0
1900-01-01 14:51:08.330,22.086122,23.48164,22.424741,22.308014,-0.001181,-3.5e-05,0.038083,0.948259,8,0,0.0
1900-01-01 14:51:09.330,22.088222,23.485972,22.425135,22.310245,-0.00096,4.4e-05,0.038221,1.103847,8,0,0.0
1900-01-01 14:51:10.330,22.084546,23.490697,22.424085,22.312214,-0.001223,7.5e-05,0.037973,1.094418,8,0,0.0
1900-01-01 14:51:11.330,22.09216,23.488728,22.424479,22.310114,-0.000987,4.4e-05,0.037835,0.985977,8,0,0.0
1900-01-01 14:51:12.330,22.09216,23.487153,22.424085,22.31077,-0.001107,-0.000245,0.037624,0.990692,8,0,0.0
1900-01-01 14:51:13.330,22.092422,23.47744,22.424348,22.309983,-0.000913,-0.000219,0.037844,1.188714,8,0,0.0
1900-01-01 14:51:14.330,22.091241,23.473371,22.424873,22.305783,-0.001071,-0.000276,0.037771,1.136851,8,0,0.0
1900-01-01 14:51:15.330,22.094654,23.478228,22.424741,22.309458,-0.000987,1.2e-05,0.037854,1.061414,8,0,0.0
1900-01-01 14:51:16.330,22.095835,23.480984,22.425792,22.313001,-0.001102,8.1e-05,0.038157,1.014266,8,0,0.0
1900-01-01 14:51:17.330,22.096622,23.485053,22.423954,22.306308,-0.001076,-3.5e-05,0.037697,1.122707,8,0,0.0
1900-01-01 14:51:18.330,22.095572,23.489778,22.425923,22.313526,-0.000997,0.000123,0.03778,1.150995,8,0,0.0
1900-01-01 14:51:19.330,22.094785,23.477178,22.426579,22.311033,-0.001197,-0.000224,0.037991,0.905825,8,0,0.0
1900-01-01 14:51:20.330,22.094391,23.467858,22.428155,22.31077,-0.000866,7.5e-05,0.0379,1.042555,8,0,0.0
1900-01-01 14:51:21.330,22.095047,23.482165,22.434718,22.311295,-0.001013,6e-05,0.037762,1.264151,8,0,0.0
1900-01-01 14:51:22.330,22.097804,23.479934,22.434193,22.308014,-0.001008,3.3e-05,0.037688,0.929399,8,0,0.0
1900-01-01 14:51:23.330,22.097935,23.480459,22.435243,22.309458,-0.001102,-9.3e-05,0.03801,1.103847,8,0,0.0
1900-01-01 14:51:24.330,22.09741,23.484003,22.438656,22.309458,-0.000997,-0.000308,0.038019,1.132136,8,0,0.0
1900-01-01 14:51:25.330,22.099116,23.474421,22.439444,22.308933,-0.000918,-0.000334,0.038083,0.886966,8,0,0.0
1900-01-01 14:51:26.330,22.10266,23.486234,22.441807,22.309458,-0.001071,8.1e-05,0.038028,1.000122,8,0,0.0
1900-01-01 14:51:27.330,22.104498,23.484265,22.443776,22.315101,-0.00085,0.000207,0.03801,1.004836,8,0,0.0
1900-01-01 14:51:28.330,22.105286,23.47534,22.448108,22.312083,-0.000871,0.000159,0.038001,1.02841,8,0,0.0
1900-01-01 14:51:29.330,22.106598,23.479671,22.444958,22.313133,-0.00084,-3e-06,0.037789,1.132136,8,0,0.0
1900-01-01 14:51:30.330,22.104629,23.483215,22.448633,22.309589,-0.000971,-0.000192,0.037624,1.089703,8,0,0.0
1900-01-01 14:51:31.330,22.105154,23.481771,22.448764,22.310245,-0.000876,0.000117,0.038065,1.108562,8,0,0.0
1900-01-01 14:51:32.330,22.104629,23.482953,22.450996,22.310508,-0.000945,-8.7e-05,0.037964,1.108562,8,0,0.0
1900-01-01 14:51:33.330,22.105942,23.482559,22.448239,22.309064,-0.00106,-0.00025,0.037716,1.193429,8,0,0.0
1900-01-01 14:51:34.330,22.106205,23.471534,22.451521,22.312083,-0.000824,-0.000177,0.037734,0.976548,8,0,0.0
1900-01-01 14:51:35.330,22.105679,23.481246,22.455328,22.308408,-0.000887,2.8e-05,0.037615,1.084988,8,0,0.0
1900-01-01 14:51:36.330,22.109486,23.485709,22.448633,22.31287,-0.000955,-6.6e-05,0.037633,1.141566,8,0,0.0
1900-01-01 14:51:37.330,22.105417,23.47744,22.454803,22.312214,-0.000918,-0.000145,0.037606,1.099133,8,0,0.0
1900-01-01 14:51:38.330,22.103448,23.483084,22.454541,22.310376,-0.000813,1.2e-05,0.0379,1.056699,8,0,0.0
1900-01-01 14:51:39.330,22.108042,23.477178,22.45139,22.310114,-0.000855,-0.00015,0.03812,1.226432,8,0,0.0
1900-01-01 14:51:40.330,22.108436,23.477178,22.450471,22.309983,-0.000892,-6.1e-05,0.037973,1.212288,8,0,0.0
1900-01-01 14:51:41.330,22.102267,23.477965,22.448108,22.309326,-0.000792,0.000102,0.037798,0.985977,8,0,0.0
1900-01-01 14:51:42.330,22.101479,23.492403,22.443907,22.306177,-0.000866,7.5e-05,0.03789,1.03784,8,0,0.0
1900-01-01 14:51:43.330,22.104236,23.487678,22.441544,22.30867,-0.000845,-0.000234,0.037909,0.967118,8,0,0.0
1900-01-01 14:51:44.330,22.104761,23.485053,22.440626,22.308933,-0.000703,-0.000308,0.037771,1.014266,8,0,0.0
1900-01-01 14:51:45.330,22.105417,23.473371,22.438394,22.309326,-0.000945,-0.000492,0.038184,1.018981,8,0,0.0
1900-01-01 14:51:46.330,22.103186,23.474815,22.43905,22.30972,-0.000887,-0.000465,0.037835,1.080273,8,0,0.0
1900-01-01 14:51:47.330,22.098066,23.474027,22.441544,22.30867,-0.000997,-0.000381,0.037854,1.103847,8,0,0.0
1900-01-01 14:51:48.330,22.100823,23.477834,22.438394,22.307752,-0.001018,-0.000408,0.037936,1.033125,8,0,0.0
1900-01-01 14:51:49.330,22.104104,23.489384,22.439444,22.310245,-0.000866,-0.000329,0.038001,1.226432,8,0,0.0
1900-01-01 14:51:50.330,22.101873,23.484397,22.438788,22.227821,-0.000966,-6.1e-05,0.038488,1.080273,8,0,0.0
1900-01-01 14:51:51.330,22.106992,23.471271,22.434456,21.595726,-0.001092,0.000275,0.038589,1.023696,8,0,0.0
1900-01-01 14:51:52.330,22.106598,23.46694,22.437475,20.143324,-0.001207,0.00017,0.038396,1.02841,8,0,0.0
1900-01-01 14:51:53.330,22.107648,23.476128,22.439182,18.100564,-0.001008,8.1e-05,0.038653,1.113277,8,0,0.0
1900-01-01 14:51:54.330,22.100167,23.471009,22.437475,15.776013,-0.000918,0.00018,0.038377,1.094418,8,0,0.0
1900-01-01 14:51:55.330,22.108961,23.473765,22.4359,13.291075,-0.001023,0.000123,0.038359,1.023696,8,0,0.0
1900-01-01 14:51:56.330,22.110142,23.465758,22.43078,10.710194,-0.000908,-9.3e-05,0.038037,1.080273,8,0,0.0
1900-01-01 14:51:57.330,22.114737,23.454077,22.432355,8.128132,-0.001002,5.4e-05,0.041014,1.066129,8,0,0.0
1900-01-01 14:51:58.330,22.111586,23.447777,22.430124,5.59227,-0.000761,-2.4e-05,0.046039,1.080273,8,0,0.0
1900-01-01 14:51:59.330,22.110011,23.448302,22.42566,3.175451,-0.001018,-2.4e-05,0.050073,1.023696,8,0,0.0
1900-01-01 14:52:00.330,22.112899,23.449483,22.427104,0.945661,-0.00106,-5.1e-05,0.053362,1.080273,8,0,0.0
1900-01-01 14:52:01.330,22.11303,23.43032,22.427498,-1.094868,-0.000866,-0.000439,0.05802,1.080273,8,0,0.0
1900-01-01 14:52:02.330,22.112899,23.389237,22.42566,-2.905448,-0.000882,-0.000135,0.05915,1.014266,8,0,0.0
1900-01-01 14:52:03.330,22.110536,23.148254,22.422116,-4.508917,-0.001202,0.009873,0.062714,1.03784,8,0,0.0
1900-01-01 14:52:04.330,22.115655,22.665632,22.423823,-5.903307,0.002311,0.009589,0.063394,1.202858,8,0,0.0
1900-01-01 14:52:05.330,22.116312,22.031937,22.423297,-7.052523,0.007052,0.011191,0.063798,1.16514,8,0,0.0
1900-01-01 14:52:06.330,22.115524,21.309119,22.422379,-8.012478,0.009945,0.012351,0.064405,0.957688,8,0,0.0
1900-01-01 14:52:07.330,22.113424,20.542857,22.41844,-8.776216,0.011357,0.012734,0.064497,1.02841,8,0,0.0
1900-01-01 14:52:08.330,22.114605,19.791557,22.416471,-9.404768,0.010968,0.012535,0.064855,1.150995,8,0,0.0
1900-01-01 14:52:09.330,22.110405,19.110872,22.415946,-9.906927,0.012664,0.01484,0.069182,1.127421,8,0,0.0
1900-01-01 14:52:10.330,22.110536,18.474158,22.416077,-10.31288,0.016387,0.018221,0.070707,1.004836,8,0,0.0
1900-01-01 14:52:11.330,22.112374,17.87275,22.413452,-10.64494,0.019495,0.021823,0.074336,1.150995,8,0,0.0
1900-01-01 14:52:12.330,22.109617,17.2783,22.411483,-10.919382,0.021238,0.023382,0.076339,1.099133,8,0,0.0
1900-01-01 14:52:13.330,22.106992,16.70695,22.410433,-11.138699,0.02275,0.024432,0.075907,1.132136,8,0,0.0
1900-01-01 14:52:14.330,22.10673,16.185476,22.403869,-11.298691,0.024714,0.02627,0.078912,1.070844,8,0,0.0
1900-01-01 14:52:15.330,22.110274,15.668203,22.403081,-11.448447,0.02599,0.027514,0.078902,1.221718,8,0,0.0
1900-01-01 14:52:16.330,22.110011,15.178494,22.400981,-11.543733,0.026783,0.027981,0.080133,1.094418,8,0,0.0
1900-01-01 14:52:17.330,22.10883,14.745092,22.401112,-11.635345,0.027586,0.028926,0.081557,1.061414,8,0,0.0
1900-01-01 14:52:18.330,22.108567,14.324159,22.401769,-11.696376,0.028478,0.029262,0.080979,1.122707,8,0,0.0
