Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,Plug_future,LogId
1900-01-01 11:46:21.233,0.392408,0.561686,0.645454,0,0,14
1900-01-01 11:46:22.233,0.39444,0.563813,0.648128,0,0,14
1900-01-01 11:46:23.233,0.393033,0.561219,0.646253,0,0,14
1900-01-01 11:46:24.233,0.393815,0.563093,0.646722,0,0,14
1900-01-01 11:46:25.233,0.393253,0.56188,0.646134,0,0,14
1900-01-01 11:46:26.233,0.391295,0.560353,0.643929,0,0,14
1900-01-01 11:46:27.233,0.392098,0.560237,0.644425,0,0,14
1900-01-01 11:46:28.233,0.391337,0.559208,0.643534,0,0,14
1900-01-01 11:46:29.233,0.393421,0.563429,0.647631,0,0,14
1900-01-01 11:46:30.233,0.394093,0.564873,0.649239,0,0,14
1900-01-01 11:46:31.233,0.394035,0.564065,0.649,0,0,14
1900-01-01 11:46:32.233,0.394219,0.564532,0.648615,0,0,14
1900-01-01 11:46:33.233,0.396036,0.566333,0.650176,0,0,14
1900-01-01 11:46:34.233,0.394392,0.564747,0.64844,0,0,14
1900-01-01 11:46:35.233,0.394508,0.565571,0.649598,0,0,14
1900-01-01 11:46:36.233,0.394303,0.565036,0.648835,0,0,14
1900-01-01 11:46:37.233,0.394345,0.564742,0.649193,0,0,14
1900-01-01 11:46:38.233,0.393085,0.562983,0.646942,0,0,14
1900-01-01 11:46:39.233,0.394098,0.564374,0.648164,0,0,14
1900-01-01 11:46:40.233,0.394991,0.565771,0.649322,0,0,14
1900-01-01 11:46:41.233,0.394833,0.566102,0.649653,0,0,14
1900-01-01 11:46:42.233,0.395637,0.566842,0.650856,0,0,14
1900-01-01 11:46:43.233,0.393537,0.563954,0.648275,0,0,14
1900-01-01 11:46:44.233,0.394109,0.565949,0.649616,0,0,14
1900-01-01 11:46:45.233,0.393852,0.564548,0.649818,0,0,14
1900-01-01 11:46:46.233,0.393442,0.5648,0.648853,0,0,14
1900-01-01 11:46:47.233,0.394051,0.564469,0.649478,0,0,14
1900-01-01 11:46:48.233,0.394681,0.565041,0.649,0,0,14
1900-01-01 11:46:49.233,0.394592,0.564721,0.648615,0,0,14
1900-01-01 11:46:50.233,0.393799,0.56407,0.64833,0,0,14
1900-01-01 11:46:51.233,0.394613,0.565188,0.649258,0,0,14
