Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future,LogId
1900-01-01 14:00:53.654,0.181374,0.578041,0.730648,0.830388,0,0.0,25
1900-01-01 14:00:54.654,0.181689,0.579947,0.733055,1.212288,0,0.0,25
1900-01-01 14:00:55.654,0.181563,0.58033,0.733652,1.169855,0,0.0,25
1900-01-01 14:00:56.654,0.182015,0.583397,0.737676,1.349017,0,0.0,25
1900-01-01 14:00:57.654,0.182241,0.583701,0.737492,1.051984,0,0.0,25
1900-01-01 14:00:58.654,0.181175,0.583974,0.739302,1.146281,0,0.0,25
1900-01-01 14:00:59.654,0.1817,0.583145,0.737437,1.306584,0,0.0,25
1900-01-01 14:01:00.654,0.181311,0.580992,0.734561,1.330158,0,0.0,25
1900-01-01 14:01:01.654,0.181112,0.581443,0.735434,1.41031,0,0.0,25
1900-01-01 14:01:02.654,0.18096,0.582326,0.735627,1.476317,0,0.0,25
1900-01-01 14:01:03.654,0.181206,0.581249,0.733891,1.141566,0,0.0,25
1900-01-01 14:01:04.654,0.182025,0.583943,0.737593,1.41031,0,0.0,25
1900-01-01 14:01:05.654,0.181233,0.582877,0.736785,1.415025,0,0.0,25
1900-01-01 14:01:06.654,0.180939,0.581811,0.734598,1.316014,0,0.0,25
1900-01-01 14:01:07.654,0.181196,0.582845,0.736858,1.391451,0,0.0,25
1900-01-01 14:01:08.654,0.18192,0.582819,0.737676,1.217003,0,0.0,25
1900-01-01 14:01:09.654,0.181574,0.584105,0.737887,1.278295,0,0.0,25
1900-01-01 14:01:10.654,0.1818,0.58545,0.739532,1.250006,0,0.0,25
1900-01-01 14:01:11.654,0.182225,0.586458,0.740322,1.433884,0,0.0,25
1900-01-01 14:01:12.654,0.18149,0.585712,0.740239,1.150995,0,0.0,25
1900-01-01 14:01:13.654,0.181941,0.588017,0.742233,1.28301,0,0.0,25
1900-01-01 14:01:14.654,0.181416,0.587051,0.74226,1.471602,0,0.0,25
1900-01-01 14:01:15.654,0.183254,0.588889,0.744043,1.297155,0,0.0,25
1900-01-01 14:01:16.654,0.183616,0.592895,0.74893,1.217003,0,0.0,25
1900-01-01 14:01:17.654,0.184225,0.595772,0.751236,1.457458,0,0.0,25
