Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Plug,LogId
1900-01-01 14:03:35.269,0.13126,0.386811,0.491457,0,20
1900-01-01 14:03:36.269,0.131275,0.387535,0.492945,0,20
1900-01-01 14:03:37.269,0.13148,0.389346,0.494516,0,20
1900-01-01 14:03:38.269,0.131559,0.388737,0.493956,0,20
1900-01-01 14:03:39.269,0.131233,0.388239,0.49233,0,20
1900-01-01 14:03:40.269,0.13042,0.386343,0.492468,0,20
1900-01-01 14:03:41.269,0.130535,0.385172,0.49052,0,20
1900-01-01 14:03:42.269,0.130677,0.38512,0.489381,0,20
1900-01-01 14:03:43.269,0.130425,0.385025,0.489362,0,20
1900-01-01 14:03:44.269,0.129858,0.384017,0.488995,0,20
1900-01-01 14:03:45.269,0.129737,0.384112,0.488223,0,20
1900-01-01 14:03:46.269,0.129396,0.383655,0.487644,0,20
1900-01-01 14:03:47.269,0.130278,0.383681,0.488591,0,20
1900-01-01 14:03:48.269,0.130162,0.384579,0.488673,0,20
1900-01-01 14:03:49.269,0.130425,0.384054,0.488471,0,20
1900-01-01 14:03:50.269,0.129611,0.38366,0.487185,0,20
1900-01-01 14:03:51.269,0.130047,0.384086,0.487405,0,20
1900-01-01 14:03:52.269,0.129548,0.382568,0.48656,0,20
1900-01-01 14:03:53.269,0.129207,0.381686,0.48532,0,20
1900-01-01 14:03:54.269,0.128283,0.381397,0.485237,0,20
1900-01-01 14:03:55.269,0.129028,0.380137,0.484594,0,20
1900-01-01 14:03:56.269,0.128944,0.379607,0.484181,0,20
1900-01-01 14:03:57.269,0.129307,0.380185,0.483317,0,20
1900-01-01 14:03:58.269,0.130094,0.381214,0.48475,0,20
1900-01-01 14:03:59.269,0.129354,0.380342,0.484015,0,20
1900-01-01 14:04:00.269,0.129611,0.380872,0.484631,0,20
1900-01-01 14:04:01.269,0.12885,0.380142,0.484374,0,20
1900-01-01 14:04:02.269,0.129217,0.380353,0.484392,0,20
1900-01-01 14:04:03.269,0.128855,0.379869,0.484548,0,20
1900-01-01 14:04:04.269,0.128991,0.380258,0.484052,0,20
1900-01-01 14:04:05.269,0.129039,0.380022,0.483776,0,20
1900-01-01 14:04:06.269,0.129322,0.381214,0.484888,0,20
1900-01-01 14:04:07.269,0.129627,0.38187,0.485605,0,20
1900-01-01 14:04:08.269,0.12927,0.381854,0.486239,0,20
1900-01-01 14:04:09.269,0.129753,0.382589,0.486496,0,20
1900-01-01 14:04:10.269,0.128739,0.380925,0.484723,0,20
1900-01-01 14:04:11.269,0.128902,0.381177,0.483694,0,20
1900-01-01 14:04:12.269,0.128619,0.380599,0.484925,0,20
1900-01-01 14:04:13.269,0.128088,0.380778,0.484677,0,20
1900-01-01 14:04:14.269,0.129706,0.381975,0.485605,0,20
1900-01-01 14:04:15.269,0.129496,0.381775,0.485026,0,20
1900-01-01 14:04:16.269,0.128745,0.380395,0.484897,0,20
1900-01-01 14:04:17.269,0.12959,0.380878,0.484603,0,20
1900-01-01 14:04:18.269,0.129055,0.380757,0.484318,0,20
1900-01-01 14:04:19.269,0.130057,0.381749,0.484723,0,20
1900-01-01 14:04:20.269,0.129349,0.379953,0.482959,0,20
1900-01-01 14:04:21.269,0.12958,0.381581,0.485458,0,20
1900-01-01 14:04:22.269,0.129842,0.381865,0.486018,0,20
1900-01-01 14:04:23.269,0.128556,0.380358,0.484842,0,20
1900-01-01 14:04:24.269,0.129622,0.381838,0.485467,0,20
1900-01-01 14:04:25.269,0.129501,0.380452,0.483896,0,20
1900-01-01 14:04:26.269,0.127852,0.375842,0.478852,0,20
1900-01-01 14:04:27.269,0.126629,0.369841,0.471539,0,20
1900-01-01 14:04:28.269,0.124287,0.362275,0.462122,0,20
1900-01-01 14:04:29.269,0.123888,0.358248,0.457951,0,20
