Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future
1900-01-01 12:51:05.552,22.075358,22.76066,22.06269,7.285907,-0.001118,0.001136,0.038515,1.127421,0,0.0
1900-01-01 12:51:06.552,22.077196,22.759742,22.059933,5.113736,-0.001123,0.00111,0.042539,1.004836,0,0.0
1900-01-01 12:51:07.552,22.081265,22.755279,22.056126,3.023989,-0.001291,0.001036,0.045479,0.962403,0,0.0
1900-01-01 12:51:08.552,22.076277,22.748847,22.050875,1.101322,-0.001107,0.001041,0.048731,1.117992,0,0.0
1900-01-01 12:51:09.552,22.076539,22.683483,22.051794,-0.633265,-0.001144,0.001283,0.048878,1.042555,0,0.0
1900-01-01 12:51:10.552,22.077327,22.447619,22.047199,-2.178984,-0.001212,0.003336,0.049751,1.051984,0,0.0
1900-01-01 12:51:11.552,22.082315,22.041518,22.045624,-3.535443,0.001045,0.005504,0.05056,1.075559,0,0.0
1900-01-01 12:51:12.552,22.08494,21.487625,22.045755,-4.702509,0.006322,0.009075,0.052406,1.094418,0,0.0
1900-01-01 12:51:13.552,22.086647,20.861017,22.042867,-5.693571,0.010092,0.011443,0.054005,0.952974,0,0.0
1900-01-01 12:51:14.552,22.090847,20.19897,22.040111,-6.493009,0.010874,0.012115,0.0561,0.971833,0,0.0
1900-01-01 12:51:15.552,22.093341,19.580238,22.039585,-7.137835,0.013394,0.014498,0.06107,1.03784,0,0.0
1900-01-01 12:51:16.552,22.096622,19.006131,22.036829,-7.66375,0.017715,0.018573,0.063982,1.04727,0,0.0
1900-01-01 12:51:17.552,22.097935,18.480458,22.035253,-8.087684,0.023034,0.024317,0.069825,0.990692,0,0.0
1900-01-01 12:51:18.552,22.096754,17.97526,22.032103,-8.425782,0.025921,0.026516,0.070505,0.981262,0,0.0
