Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future
1900-01-01 13:56:49.628,21.208376,-6.971719,23.120621,-7.084154,0.251241,0.261635,0.46339,3.786573,0,0.0
1900-01-01 13:56:50.628,21.208376,-6.971456,23.122066,-7.081135,0.251745,0.26288,0.463335,3.720566,0,0.0
1900-01-01 13:56:51.628,21.223209,-6.960037,23.127054,-7.081267,0.251136,0.261336,0.462848,3.687562,0,0.0
1900-01-01 13:56:52.628,21.19735,-6.963318,23.122197,-7.07536,0.252407,0.262402,0.463518,3.711136,0,0.0
1900-01-01 13:56:53.628,21.198794,-6.957412,23.116027,-7.074573,0.252134,0.262449,0.463188,3.692277,0,0.0
1900-01-01 13:56:54.628,21.209689,-6.95308,23.124691,-7.071554,0.251588,0.261714,0.463234,3.593266,0,0.0
1900-01-01 13:56:55.628,21.23371,-6.937199,23.124822,-7.064467,0.251561,0.261462,0.463812,3.668703,0,0.0
1900-01-01 13:56:56.628,21.214546,-6.941924,23.122328,-7.062761,0.250438,0.260559,0.462131,3.366955,0,0.0
1900-01-01 13:56:57.628,21.231216,-6.941661,23.123116,-7.059348,0.250921,0.261504,0.462232,3.461252,0,0.0
1900-01-01 13:56:58.628,21.23161,-6.934705,23.124428,-7.048192,0.251078,0.261777,0.462958,3.659273,0,0.0
1900-01-01 13:56:59.628,21.225047,-6.932474,23.123378,-7.050423,0.250832,0.2609,0.462857,3.635699,0,0.0
1900-01-01 13:57:00.628,21.210345,-6.933261,23.121672,-7.050817,0.25164,0.261436,0.462673,3.73471,0,0.0
1900-01-01 13:57:01.628,21.203257,-6.927092,23.116683,-7.049111,0.251399,0.261089,0.462655,3.829007,0,0.0
1900-01-01 13:57:02.628,21.20667,-6.925648,23.118784,-7.039267,0.250674,0.261142,0.462618,3.767714,0,0.0
