Time,TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),Plug,Plug_future,LogId
1900-01-01 13:23:44.389,0.222044,0.232044,0.409332,1.132136,0,0.0,16
1900-01-01 13:23:45.389,0.22207,0.231508,0.408863,1.264151,0,0.0,16
1900-01-01 13:23:46.389,0.221944,0.231724,0.408643,1.235862,0,0.0,16
1900-01-01 13:23:47.389,0.221508,0.231262,0.408817,1.103847,0,0.0,16
1900-01-01 13:23:48.389,0.221409,0.232207,0.408468,1.183999,0,0.0,16
1900-01-01 13:23:49.389,0.221041,0.231414,0.409819,1.367877,0,0.0,16
1900-01-01 13:23:50.389,0.221451,0.231204,0.407421,1.386736,0,0.0,16
1900-01-01 13:23:51.389,0.222123,0.231361,0.407669,1.325443,0,0.0,16
1900-01-01 13:23:52.389,0.221109,0.230752,0.407623,1.212288,0,0.0,16
1900-01-01 13:23:53.389,0.2205,0.23028,0.40664,1.207573,0,0.0,16
1900-01-01 13:23:54.389,0.221346,0.231519,0.407256,1.042555,0,0.0,16
1900-01-01 13:23:55.389,0.22155,0.231214,0.408321,1.40088,0,0.0,16
1900-01-01 13:23:56.389,0.22102,0.231157,0.408762,1.117992,0,0.0,16
1900-01-01 13:23:57.389,0.22196,0.231288,0.407219,1.254721,0,0.0,16
1900-01-01 13:23:58.389,0.221135,0.230527,0.407393,1.212288,0,0.0,16
1900-01-01 13:23:59.389,0.221072,0.230485,0.407596,1.122707,0,0.0,16
1900-01-01 13:24:00.389,0.220553,0.230915,0.40755,1.363162,0,0.0,16
1900-01-01 13:24:01.389,0.220789,0.230626,0.406429,1.466888,0,0.0,16
1900-01-01 13:24:02.389,0.220841,0.231094,0.40653,1.330158,0,0.0,16
1900-01-01 13:24:03.389,0.221766,0.231871,0.4089,1.358447,0,0.0,16
1900-01-01 13:24:04.389,0.221865,0.230983,0.408018,1.02841,0,0.0,16
1900-01-01 13:24:05.389,0.22164,0.231766,0.408643,0.934114,0,0.0,16
1900-01-01 13:24:06.389,0.220994,0.231393,0.407476,1.127421,0,0.0,16
1900-01-01 13:24:07.389,0.221219,0.231456,0.407403,1.320729,0,0.0,16
1900-01-01 13:24:08.389,0.220542,0.230002,0.407026,1.382021,0,0.0,16
1900-01-01 13:24:09.389,0.219245,0.22966,0.404839,1.363162,0,0.0,16
1900-01-01 13:24:10.389,0.220133,0.230044,0.404784,1.391451,0,0.0,16
1900-01-01 13:24:11.389,0.221209,0.230779,0.406254,1.235862,0,0.0,16
1900-01-01 13:24:12.389,0.219975,0.230143,0.406548,1.391451,0,0.0,16
1900-01-01 13:24:13.389,0.220458,0.229818,0.405363,1.429169,0,0.0,16
1900-01-01 13:24:14.389,0.219797,0.229151,0.40461,1.113277,0,0.0,16
1900-01-01 13:24:15.389,0.220904,0.230747,0.407393,1.504606,0,0.0,16
1900-01-01 13:24:16.389,0.221293,0.230962,0.407862,1.226432,0,0.0,16
1900-01-01 13:24:17.389,0.22144,0.231057,0.407008,1.363162,0,0.0,16
1900-01-01 13:24:18.389,0.220815,0.230931,0.407357,1.297155,0,0.0,16
1900-01-01 13:24:19.389,0.220757,0.230453,0.408496,1.16514,0,0.0,16
1900-01-01 13:24:20.389,0.221183,0.231157,0.407173,1.075559,0,0.0,16
1900-01-01 13:24:21.389,0.220579,0.230506,0.406199,1.231147,0,0.0,16
1900-01-01 13:24:22.389,0.221598,0.230968,0.407788,1.023696,0,0.0,16
1900-01-01 13:24:23.389,0.221372,0.231031,0.408459,1.250006,0,0.0,16
1900-01-01 13:24:24.389,0.221718,0.23154,0.408165,1.183999,0,0.0,16
1900-01-01 13:24:25.389,0.221892,0.231136,0.408156,1.339588,0,0.0,16
1900-01-01 13:24:26.389,0.221561,0.230931,0.407623,1.183999,0,0.0,16
1900-01-01 13:24:27.389,0.22396,0.23354,0.413834,1.235862,0,0.0,16
1900-01-01 13:24:28.389,0.231426,0.241841,0.426953,1.367877,0,0.0,16
1900-01-01 13:24:29.389,0.24189,0.253072,0.446862,1.330158,0,0.0,16
1900-01-01 13:24:30.389,0.247072,0.258249,0.456646,1.452743,0,0.0,16
1900-01-01 13:24:31.389,0.254727,0.266371,0.471631,1.070844,0,0.0,16
1900-01-01 13:24:32.389,0.267811,0.280243,0.494388,1.202858,0,0.0,16
1900-01-01 13:24:33.389,0.298615,0.313152,0.557082,1.122707,0,0.0,16
1900-01-01 13:24:34.389,0.31538,0.330741,0.586665,1.514036,0,0.0,16
1900-01-01 13:24:35.389,0.311825,0.327003,0.580371,1.217003,0,0.0,16
1900-01-01 13:24:36.389,0.311515,0.326872,0.581198,1.254721,0,0.0,16
1900-01-01 13:24:37.389,0.312791,0.327801,0.582512,1.589473,0,0.0,16
